name,type,hasName,hasRoleType,label,correspondsToFrameElement,hasDefinition
Role_Frame_Responsibility_evaluator_of_fulfillment,"['Role', 'NamedIndividual', 'Role']",['evaluator_of_fulfillment'],,['Responsibility.evaluator_of_fulfillment'],,
Role_Frame_Anger_anger_x_schema,"['NamedIndividual', 'Role', 'Role']",['anger_x-schema'],,['Anger.anger_x-schema'],,
Role_Frame_Judicial_action_normative_judicial_actions,"['Role', 'NamedIndividual', 'Role']",['normative_judicial_actions'],,['Judicial action.normative_judicial_actions'],,
Role_Frame_Physical_connection_item1,"['Role', 'NamedIndividual', 'Role']",['item1'],,['Physical connection.item1'],,
Role_Frame_Gun_rights_legislation_legislation,"['Role', 'NamedIndividual', 'Role']",['legislation'],,['Gun rights legislation.legislation'],,"['bill or law concerning use', 'etc. of guns', 'ownership']"
Role_Frame_Group_membership_member,"['Role', 'NamedIndividual', 'Role']",['member'],,['Group membership.member'],,
Role_Frame_Motion_away_from_a_location_motion_x_schema,"['Role', 'NamedIndividual', 'Role']",['motion_x-schema'],,['Motion away from a location.motion_x-schema'],,
Role_Frame_Drugs_drug_user,"['NamedIndividual', 'Role', 'Role']",['drug_user'],,['Drugs.drug_user'],,
Role_Frame_Adoption_family_representative,"['NamedIndividual', 'Role', 'Role']",['family_representative'],,['Adoption.family_representative'],,
Role_Frame_Disease_treatment_applying_treatment,"['NamedIndividual', 'Role', 'Role']",['applying_treatment'],,['Disease treatment.applying_treatment'],,
Role_Frame_Motion_along_a_path_direction,"['Role', 'NamedIndividual', 'Role']",['direction'],,['Motion along a path.direction'],,"['path', 'may be specified via source', '&/or goal']"
Role_Frame_Upward_motion_mover_position,"['NamedIndividual', 'Role', 'Role']",['mover_position'],,['Upward motion.mover_position'],,
Role_Frame_Trust_relationship_change_in_relationship_intensity,"['NamedIndividual', 'Role', 'Role']",['change_in_relationship_intensity'],,['Trust relationship.change_in_relationship_intensity'],,
Role_Frame_Change_of_state_experiencer,"['Role', 'NamedIndividual', 'Role']",['experiencer'],,['Change of state.experiencer'],['Entity'],
Role_Frame_Motion_along_a_path_speed,"['NamedIndividual', 'Role', 'Role']",['speed'],,['Motion along a path.speed'],,
Role_Frame_Physical_affliction_symptoms,"['Role', 'NamedIndividual', 'Role']",['symptoms'],,['Physical_affliction.symptoms'],,
Role_Frame_Punishment_type_of_punishment,"['NamedIndividual', 'Role', 'Role']",['type_of_punishment'],,['Punishment.type_of_punishment'],,
Role_Frame_Pest_pest,"['Role', 'NamedIndividual', 'Role']",['pest'],,['Pest.pest'],,
Role_Frame_Economy_activity_level,"['NamedIndividual', 'Role', 'Role']",['activity_level'],['scale'],['Economy.activity_level'],,
Role_Frame_Argument_arguers,"['Role', 'NamedIndividual', 'Role']",['arguers'],,['Argument.arguers'],,
Role_Frame_Scale_ordered_value_relations,"['NamedIndividual', 'Role', 'Role']",['ordered_value_relations'],,['Scale.ordered_value_relations'],,['the values are ordered in relation to one another']
Role_Frame_Size_entity,"['NamedIndividual', 'Role', 'Role']",['entity'],['Object'],['Size.entity'],['Entity'],['the entity whose size is being specified']
Role_Frame_Government_constraints_on_governing_actions,"['NamedIndividual', 'Role', 'Role']",['constraints_on_governing_actions'],,['Government.constraints_on_governing_actions'],,"['e.g. Constitution', 'laws']"
Role_Frame_Visual_obstruction_vision,"['Role', 'NamedIndividual', 'Role']",['vision'],,['Visual obstruction.vision'],,
Role_Frame_Importance_importance_scale,"['NamedIndividual', 'Role', 'Role']",['importance_scale'],['scale'],['Importance.importance_scale'],,
Role_Frame_Physical_structure_parts_relations,"['NamedIndividual', 'Role', 'Role']",['parts_relations'],,['Physical structure.parts_relations'],,
Role_Frame_Journey_locations_along_journey,"['Role', 'NamedIndividual', 'Role']",['locations_along_journey'],,['Journey.locations_along_journey'],,
Role_Frame_Caring_cared_target_feelings,"['Role', 'NamedIndividual', 'Role']",['cared_target_feelings'],,['Caring.cared_target_feelings'],,['the feelings the cared_target feels as a result of being cared for']
Role_Frame_Self_propelled_motion_source,"['NamedIndividual', 'Role', 'Role']",['source'],,['Self propelled motion.source'],,"[""mover's intitial location""]"
Role_Frame_Bodily_functioning_body,"['Role', 'NamedIndividual', 'Role']",['body'],,['Bodily functioning.body'],,
Role_Frame_Governing_action_affect_rate_of_change,"['Role', 'NamedIndividual', 'Role']",['affect_rate_of_change'],,['Governing action.affect_rate_of_change'],,
Role_Frame_Time_present_time,"['NamedIndividual', 'Role', 'Role']",['present_time'],,['Time.present_time'],,
Role_Frame_War_victory,"['NamedIndividual', 'Role', 'Role']",['victory'],['x-schema state'],['War.victory'],,
Role_Frame_Social_problems_immoral_citizen,"['Role', 'NamedIndividual', 'Role']",['immoral_citizen'],,['Social problems.immoral_citizen'],,
Role_Frame_Heating_fluid_container_top,"['Role', 'NamedIndividual', 'Role']",['container_top'],,['Heating fluid.container_top'],,['the portal at the top of the container which is typically lidded']
Role_Frame_Economic_difficulty_objective,"['NamedIndividual', 'Role', 'Role']",['objective'],,['Economic difficulty.objective'],,['economic objectives of actor']
Role_Frame_Forced_motion_motion,"['NamedIndividual', 'Role', 'Role']",['motion'],,['Forced motion.motion'],,
Role_Frame_Physical_combat_physical_interaction_x_schema,"['Role', 'NamedIndividual', 'Role']",['physical interaction x-schema'],,['Physical combat.physical interaction x-schema'],,
Role_Frame_Eating_recipient,"['NamedIndividual', 'Role', 'Role']",['recipient'],,['Eating.recipient'],,
Role_Frame_Power_Power_yielder,"['Role', 'NamedIndividual', 'Role']",['Power_yielder'],,['Power.Power_yielder'],,
Role_Frame_Upright_posture_upright_entity,"['Role', 'NamedIndividual', 'Role']",['upright_entity'],,['Upright posture.upright_entity'],,
Role_Frame_Disease_health_state,"['Role', 'NamedIndividual', 'Role']",['health_state'],,['Disease.health_state'],,"[""patient's (diseased) state of health""]"
Role_Frame_Poverty_impoverishment,"['NamedIndividual', 'Role', 'Role']",['impoverishment'],,['Poverty.impoverishment'],,
Role_Frame_Romantic_relationship_romantic_relationship_participants,"['NamedIndividual', 'Role', 'Role']",['romantic_relationship_participants'],,['Romantic relationship.romantic_relationship_participants'],,
Role_Frame_Building_building_parts,"['Role', 'NamedIndividual', 'Role']",['building_parts'],['Component of building'],['Building.building_parts'],,"['e.g. facade', 'Non-room building elements']"
Role_Frame_Group_sub_group,"['NamedIndividual', 'Role', 'Role']",['sub-group'],,['Group.sub-group'],,
Role_Frame_Building_subparts_place,"['Role', 'NamedIndividual', 'Role']",['place'],,['Building subparts.place'],['place'],"['the location of the room within the building', 'e.g the second floor']"
Role_Frame_International_Relations_International_relations_international_relationship,"['NamedIndividual', 'Role', 'Role']",['International_relations.international_relationship'],,['International Relations.International_relations.international_relationship'],,
Role_Frame_Control_force_receiver,"['Role', 'NamedIndividual', 'Role']",['force_receiver'],,['Control.force_receiver'],,
Role_Frame_Biological_entity_parts,"['NamedIndividual', 'Role', 'Role']",['parts'],,['Biological entity.parts'],,
Role_Frame_Restraints_restraining_entity,"['NamedIndividual', 'Role', 'Role']",['restraining_entity'],,['Restraints.restraining_entity'],,
Role_Frame_Hosting_guest,"['NamedIndividual', 'Role', 'Role']",['guest'],,['Hosting.guest'],,
Role_Frame_Competition_competition_competitor2,"['NamedIndividual', 'Role', 'Role']",['competition_competitor2'],,['Competition.competition_competitor2'],,
Role_Frame_Force_transfer_force_originator,"['NamedIndividual', 'Role', 'Role']",['force_originator'],['Entity'],['Force transfer.force_originator'],,
Role_Frame_Legislation_enactment_legislation_proposal,"['NamedIndividual', 'Role', 'Role']",['legislation_proposal'],,['Legislation enactment.legislation_proposal'],,['introduction of proposed legislation']
Role_Frame_Deity_deity,"['NamedIndividual', 'Role', 'Role']",['deity'],,['Deity.deity'],,
Role_Frame_Organization_head_of_organization,"['NamedIndividual', 'Role', 'Role']",['head_of_organization'],,['Organization.head_of_organization'],,
Role_Frame_Physical_structure_Physical_structure,"['NamedIndividual', 'Role', 'Role']",['Physical_structure'],,['Physical structure.Physical_structure'],,
Role_Frame_Taxation_tax_payment,"['NamedIndividual', 'Role', 'Role']",['tax_payment'],,['Taxation.tax_payment'],,['tax_payer pays money to taxer']
Role_Frame_Difficulty_objective,"['Role', 'NamedIndividual', 'Role']",['objective'],,['Difficulty.objective'],,
Role_Frame_Treating_a_physical_affliction_cure,"['NamedIndividual', 'Role', 'Role']",['cure'],,['Treating a physical affliction.cure'],,
Role_Frame_Government_institution_sub_groups,"['Role', 'NamedIndividual', 'Role']",['sub-groups'],,['Government institution.sub-groups'],,['e.g. different departments']
Role_Frame_Learning_benefits_of_learning,"['NamedIndividual', 'Role', 'Role']",['benefits_of_learning'],,['Learning.benefits_of_learning'],,
Role_Frame_Possessable_object_possession,"['Role', 'NamedIndividual', 'Role']",['possession'],,['Possessable object.possession'],,
Role_Frame_Complex_physical_object_size,"['Role', 'NamedIndividual', 'Role']",['size'],,['Complex physical object.size'],,
Role_Frame_Machine_machine_entity,"['NamedIndividual', 'Role', 'Role']",['machine_entity'],,['Machine.machine_entity'],,
Role_Frame_Government_governing_power,"['Role', 'NamedIndividual', 'Role']",['governing_power'],,['Government.governing_power'],,
Role_Frame_Process_start_process_start,"['Role', 'NamedIndividual', 'Role']",['process_start'],,['Process start.process_start'],,
Role_Frame_Object_collection_smallest_collection,"['NamedIndividual', 'Role', 'Role']",['smallest_collection'],,['Object collection.smallest_collection'],,
Role_Frame_Factory_factory_workers,"['Role', 'NamedIndividual', 'Role']",['factory_workers'],,['Factory.factory_workers'],,
Role_Frame_Upward_motion_speed,"['NamedIndividual', 'Role', 'Role']",['speed'],,['Upward motion.speed'],,
Role_Frame_Verticality_supine_entity,"['NamedIndividual', 'Role', 'Role']",['supine_entity'],,['Verticality.supine_entity'],,
Role_Frame_Confinement_bounds_of_confinement,"['Role', 'NamedIndividual', 'Role']",['bounds_of_confinement'],,['Confinement.bounds_of_confinement'],,
Role_Frame_Government_legitimacy_trustworthiness,"['NamedIndividual', 'Role', 'Role']",['trustworthiness'],,['Government legitimacy.trustworthiness'],,
Role_Frame_Government_govening_actions,"['NamedIndividual', 'Role', 'Role']",['govening_actions'],,['Government.govening_actions'],,
Role_Frame_Machine_operating_x_schema,"['NamedIndividual', 'Role', 'Role']",['operating_x-schema'],,['Machine.operating_x-schema'],,"[""e.g. machine is 'running'""]"
Role_Frame_Light_reflection_light,"['NamedIndividual', 'Role', 'Role']",['light'],,['Light reflection.light'],,
Role_Frame_Burden_relation_burden_to_burdened,"['Role', 'NamedIndividual', 'Role']",['relation_burden_to_burdened'],['force-dynamic x-schema'],['Burden.relation_burden_to_burdened'],,['burdened_entity supports burden']
Role_Frame_Object_shape,"['NamedIndividual', 'Role', 'Role']",['shape'],,['Object.shape'],,
Role_Frame_Social_group_defining_properties,"['NamedIndividual', 'Role', 'Role']",['defining_properties'],,['Social group.defining_properties'],,
Role_Frame_Disease_treatment_medical_tools_and_medicine,"['NamedIndividual', 'Role', 'Role']",['medical_tools_and_medicine'],,['Disease treatment.medical_tools_and_medicine'],,
Role_Frame_Romantic_relationship_romantic_relationship_participant,"['Role', 'NamedIndividual', 'Role']",['romantic_relationship_participant'],,['Romantic relationship.romantic_relationship_participant'],,
Role_Frame_Object_construction_smallest_object,"['Role', 'NamedIndividual', 'Role']",['smallest_object'],,['Object construction.smallest_object'],,
Role_Frame_Judicial_action_non_normative_judicial_actions,"['Role', 'NamedIndividual', 'Role']",['non-normative_judicial_actions'],,['Judicial action.non-normative_judicial_actions'],,
Role_Frame_Animal_life_cycle_animal_life_cycle_beginning_stage,"['Role', 'NamedIndividual', 'Role']",['animal_life_cycle_beginning_stage'],,['Animal life cycle.animal_life_cycle_beginning_stage'],,"[""e.g. 'hatch'""]"
Role_Frame_Fire_burning_object,"['Role', 'NamedIndividual', 'Role']",['burning_object'],,['Fire.burning_object'],,['thing on fire']
Role_Frame_Killing_killed_being,"['NamedIndividual', 'Role', 'Role']",['killed_being'],,['Killing.killed_being'],,
Role_Frame_Motion_to_avoid_a_destination_self_mover,"['NamedIndividual', 'Role', 'Role']",['self-mover'],,['Motion to avoid a destination.self-mover'],,
Role_Frame_Criticizing_reason_for_criticism,"['Role', 'NamedIndividual', 'Role']",['reason_for_criticism'],,['Criticizing.reason_for_criticism'],,
Role_Frame_Vehicular_motion_direction,"['NamedIndividual', 'Role', 'Role']",['direction'],,['Vehicular motion.direction'],,"[""vehicle's direction""]"
Role_Frame_Communication_language,"['NamedIndividual', 'Role', 'Role']",['language'],,['Communication.language'],,
Role_Frame_Purity_pure_substance,"['NamedIndividual', 'Role', 'Role']",['pure_substance'],,['Purity.pure_substance'],,
Role_Frame_Physical_structure_structure_creator,"['NamedIndividual', 'Role', 'Role']",['structure_creator'],,['Physical structure.structure_creator'],,
Role_Frame_Health_sick_entity,"['NamedIndividual', 'Role', 'Role']",['sick_entity'],,['Health.sick_entity'],,
Role_Frame_Gun_use_gun_user,"['NamedIndividual', 'Role', 'Role']",['gun_user'],,['Gun use.gun_user'],,
Role_Frame_Health_degree_of_health,"['NamedIndividual', 'Role', 'Role']",['degree_of_health'],,['Health.degree_of_health'],,
Role_Frame_Containing_fullness_degree,"['NamedIndividual', 'Role', 'Role']",['fullness_degree'],,['Containing.fullness_degree'],,['extent to which contents fill container to capacity']
Role_Frame_Complex_structure_part_relations,"['NamedIndividual', 'Role', 'Role']",['part_relations'],,['Complex structure.part_relations'],,
Role_Frame_Seeing_vision_x_schema,"['NamedIndividual', 'Role', 'Role']",['vision_x-schema'],,['Seeing.vision_x-schema'],,['the process of seeing something']
Role_Frame_Game_game_player2,"['NamedIndividual', 'Role', 'Role']",['game player2'],,['Game.game player2'],,
Role_Frame_Source_path_goal_trajector,"['NamedIndividual', 'Role', 'Role']",['trajector'],,['Source path goal.trajector'],['Trajector'],['from Trajector landmark']
Role_Frame_Speaking_speaker,"['Role', 'NamedIndividual', 'Role']",['speaker'],['Person'],['Speaking.speaker'],['Speaker'],
Role_Frame_Democratic_government_democratic_governor,"['NamedIndividual', 'Role', 'Role']",['democratic_governor'],,['Democratic government.democratic_governor'],,
Role_Frame_Corporation_corporation_position_holders,"['Role', 'NamedIndividual', 'Role']",['corporation_position_holders'],,['Corporation.corporation_position_holders'],,
Role_Frame_Building_building_whole,"['Role', 'NamedIndividual', 'Role']",['building_whole'],,['Building.building_whole'],,
Role_Frame_Heat_heat_x_schema,"['NamedIndividual', 'Role', 'Role']",['heat_x-schema'],,['Heat.heat_x-schema'],,
Role_Frame_Nurturant_parent_family_parent_s_,"['Role', 'NamedIndividual', 'Role']",['parent(s)'],,['Nurturant parent family.parent(s)'],,
Role_Frame_Transfer_scenario_transferor_process,"['NamedIndividual', 'Role', 'Role']",['transferor_process'],['Lose_possession'],['Transfer scenario.transferor_process'],,['giving']
Role_Frame_Government_institution_rules,"['NamedIndividual', 'Role', 'Role']",['rules'],,['Government institution.rules'],,
Role_Frame_Experiencing_a_negative_state_state_x_schema,"['Role', 'NamedIndividual', 'Role']",['state_x-schema'],,['Experiencing a negative state.state_x-schema'],,['how state value changes (or not) over time']
Role_Frame_Learning_learned_knoweledge,"['Role', 'NamedIndividual', 'Role']",['learned_knoweledge'],,['Learning.learned_knoweledge'],,
Role_Frame_Institution_position_holders,"['Role', 'NamedIndividual', 'Role']",['position_holders'],,['Institution.position_holders'],,['people who fill internal roles']
Role_Frame_Competition_competition_start,"['NamedIndividual', 'Role', 'Role']",['competition_start'],,['Competition.competition_start'],,
Role_Frame_Object_collection_object_collections,"['NamedIndividual', 'Role', 'Role']",['object_collections'],,['Object collection.object_collections'],,
Role_Frame_Physical_competition_x_schema,"['NamedIndividual', 'Role', 'Role']",['x-schema'],,['Physical competition.x-schema'],,
Role_Frame_Citizen_evaluation_of_government_Behavior,"['Role', 'NamedIndividual', 'Role']",['Behavior'],,['Citizen evaluation of government.Behavior'],,
Role_Frame_Taxation_regulation,"['NamedIndividual', 'Role', 'Role']",['regulation'],,['Taxation.regulation'],,['tax laws']
Role_Frame_Impediment_to_motion_affected_motion,"['NamedIndividual', 'Role', 'Role']",['affected_motion'],,['Impediment to motion.affected_motion'],,
Role_Frame_Physical_structure_structure_location,"['NamedIndividual', 'Role', 'Role']",['structure_location'],,['Physical structure.structure_location'],,
Role_Frame_Eating_digesting,"['NamedIndividual', 'Role', 'Role']",['digesting'],,['Eating.digesting'],,
Role_Frame_Being_at_a_location_Being_at_a_location_x_schema,"['Role', 'NamedIndividual', 'Role']",['Being at a location.x-schema'],,['Being at a location.Being at a location.x-schema'],,
Role_Frame_Trust_relationship_non_normative_action,"['Role', 'NamedIndividual', 'Role']",['non-normative_action'],['action'],['Trust relationship.non-normative_action'],,"['action deviates from standards', 'trusted entity is actor']"
Role_Frame_Killing_killer,"['NamedIndividual', 'Role', 'Role']",['killer'],,['Killing.killer'],,
Role_Frame_Animal_life_cycle_animal_life_cycle_beginning_state,"['Role', 'NamedIndividual', 'Role']",['animal_life_cycle_beginning_state'],,['Animal life cycle.animal_life_cycle_beginning_state'],,"[""e.g. 'pup' 'calf'""]"
Role_Frame_Game_game_event,"['Role', 'NamedIndividual', 'Role']",['game_event'],,['Game.game_event'],,
Role_Frame_Purposeful_action_action_x_schema_kind,"['NamedIndividual', 'Role', 'Role']",['action_x-schema_kind'],,['Purposeful action.action_x-schema_kind'],,
Role_Frame_Arithmetic_numbers,"['NamedIndividual', 'Role', 'Role']",['numbers'],,['Arithmetic.numbers'],,
Role_Frame_Force_dynamic_interaction_forceful_process,"['NamedIndividual', 'Role', 'Role']",['forceful_process'],,['Force-dynamic interaction.forceful_process'],,['a process (x-schema) in which force associated with one entity is transferred to another entity']
Role_Frame_Motion_to_a_location_mover,"['Role', 'NamedIndividual', 'Role']",['mover'],['entity'],['Motion to a location.mover'],,
Role_Frame_Eating_possession,"['NamedIndividual', 'Role', 'Role']",['possession'],,['Eating.possession'],,
Role_Frame_Personal_weapon_weapon,"['Role', 'NamedIndividual', 'Role']",['weapon'],,['Personal weapon.weapon'],,
Role_Frame_Animate_entity_body_weight,"['NamedIndividual', 'Role', 'Role']",['body_weight'],,['Animate entity.body_weight'],,
Role_Frame_Physical_harm_harmful_effect_result,"['Role', 'NamedIndividual', 'Role']",['harmful_effect_result'],,['Physical harm.harmful_effect_result'],,['consequence of physical harm']
Role_Frame_Cognizing_body,"['NamedIndividual', 'Role', 'Role']",['body'],,['Cognizing.body'],,
Role_Frame_Life_cycle_beginning_of_life,"['NamedIndividual', 'Role', 'Role']",['beginning_of_life'],,['Life cycle.beginning_of_life'],,['start of life cycle']
Role_Frame_Career_career_follower,"['NamedIndividual', 'Role', 'Role']",['career_follower'],,['Career.career_follower'],,
Role_Frame_Motion_away_from_a_bounded_region_mover,"['NamedIndividual', 'Role', 'Role']",['mover'],,['Motion away from a bounded region.mover'],,
Role_Frame_Being_stable_x_schema,"['NamedIndividual', 'Role', 'Role']",['x-schema'],,['Being stable.x-schema'],,
Role_Frame_Laundering_launder_agent,"['Role', 'NamedIndividual', 'Role']",['launder_agent'],['Person'],['Laundering.launder_agent'],,['person who cleans the laundry']
Role_Frame_Knowing_sought_knowledge,"['Role', 'NamedIndividual', 'Role']",['sought_knowledge'],,['Knowing.sought_knowledge'],,
Role_Frame_Recreational_competition_prize,"['Role', 'NamedIndividual', 'Role']",['prize'],,['Recreational competition.prize'],,
Role_Frame_Discovery_discovered_thng,"['NamedIndividual', 'Role', 'Role']",['discovered thng'],,['Discovery.discovered thng'],['Phenomenon'],['can be object or place']
Role_Frame_Judicial_decision_making_judicial_outcome,"['Role', 'NamedIndividual', 'Role']",['judicial_outcome'],,['Judicial decision-making.judicial_outcome'],,
Role_Frame_Perception_faculty,"['Role', 'NamedIndividual', 'Role']",['faculty'],,['Perception.faculty'],['Body_part'],['body part used to perceive the perceived_thing']
Role_Frame_Upward_motion_mover,"['Role', 'NamedIndividual', 'Role']",['mover'],,['Upward motion.mover'],,
Role_Frame_Body_weight_body,"['Role', 'NamedIndividual', 'Role']",['body'],,['Body weight.body'],,
Role_Frame_Lose_possession_possession,"['NamedIndividual', 'Role', 'Role']",['possession'],,['Lose possession.possession'],['Theme'],
Role_Frame_Decay_decayed_entity,"['NamedIndividual', 'Role', 'Role']",['decayed_entity'],,['Decay.decayed_entity'],,
Role_Frame_Nurturance_nurturer,"['Role', 'NamedIndividual', 'Role']",['nurturer'],,['Nurturance.nurturer'],,
Role_Frame_Plant_life_cycle_plant_sprouting_state,"['NamedIndividual', 'Role', 'Role']",['plant_sprouting_state'],,['Plant life cycle.plant_sprouting_state'],,
Role_Frame_Heating_fluid_fluid_heat_level,"['NamedIndividual', 'Role', 'Role']",['fluid_heat_level'],['Heat'],['Heating fluid.fluid_heat_level'],,['the temperature of the heated fluid']
Role_Frame_Knowing_knowledge_capacity,"['NamedIndividual', 'Role', 'Role']",['knowledge_capacity'],,['Knowing.knowledge_capacity'],,"[""the knower's ability to acquire and retain knowledge""]"
Role_Frame_Theft_thief,"['Role', 'NamedIndividual', 'Role']",['thief'],,['Theft.thief'],['Perpetrator'],
Role_Frame_Silencing_agent_action,"['NamedIndividual', 'Role', 'Role']",['agent_action'],['x-schema'],['Silencing.agent_action'],,
Role_Frame_Transfer_scenario_transfer_recipient_process,"['Role', 'NamedIndividual', 'Role']",['transfer_recipient_process'],['Gain_possession'],['Transfer scenario.transfer_recipient_process'],,['getting']
Role_Frame_Speech_act_speaker,"['Role', 'NamedIndividual', 'Role']",['speaker'],,['Speech act.speaker'],,
Role_Frame_Authority_source_of_authority,"['NamedIndividual', 'Role', 'Role']",['source_of_authority'],,['Authority.source_of_authority'],,"[""e.g. authority_entity's competence or knowledge""]"
Role_Frame_Legislative_action_legislative_objective,"['NamedIndividual', 'Role', 'Role']",['legislative_objective'],,['Legislative action.legislative_objective'],,
Role_Frame_Backward_motion_motion_x_schema,"['Role', 'NamedIndividual', 'Role']",['motion_x-schema'],,['Backward motion.motion_x-schema'],,
Role_Frame_Dissect_dissection_tool,"['Role', 'NamedIndividual', 'Role']",['dissection_tool'],,['Dissect.dissection_tool'],,
Role_Frame_Legality_action,"['Role', 'NamedIndividual', 'Role']",['action'],,['Legality.action'],,
Role_Frame_Crafting_artifact,"['NamedIndividual', 'Role', 'Role']",['artifact'],,['Crafting.artifact'],,
Role_Frame_Restaurant_patron,"['NamedIndividual', 'Role', 'Role']",['patron'],,['Restaurant.patron'],,
Role_Frame_Bounded_entity_entity_boundary,"['Role', 'NamedIndividual', 'Role']",['entity_boundary'],,['Bounded entity.entity_boundary'],,
Role_Frame_Voting_proposed_decision_initial_status,"['NamedIndividual', 'Role', 'Role']",['proposed_decision_initial_status'],,['Voting.proposed_decision_initial_status'],,['under consideration for approval']
Role_Frame_Functional_functionality_beneficiary,"['NamedIndividual', 'Role', 'Role']",['functionality_beneficiary'],,['Functional.functionality_beneficiary'],,
Role_Frame_Resource_consumption_resulting_state_of_over_consumption,"['Role', 'NamedIndividual', 'Role']",['resulting_state_of_over-consumption'],,['Resource consumption.resulting_state_of_over-consumption'],,
Role_Frame_Textile_textile_whole,"['NamedIndividual', 'Role', 'Role']",['textile_whole'],,['Textile.textile_whole'],,
Role_Frame_Government_decision_making_introduction_of_entity_under_consideration,"['NamedIndividual', 'Role', 'Role']",['introduction_of_entity_under_consideration'],,['Government decision making.introduction_of_entity_under_consideration'],,['eg proposing a bill']
Role_Frame_Being_at_a_location_experiencer,"['NamedIndividual', 'Role', 'Role']",['experiencer'],['entity'],['Being at a location.experiencer'],['theme'],['entity at a location']
Role_Frame_Object_object_interior,"['Role', 'NamedIndividual', 'Role']",['object_interior'],,['Object.object_interior'],,
Role_Frame_Time_duration_of_time,"['NamedIndividual', 'Role', 'Role']",['duration_of_time'],,['Time.duration_of_time'],,
Role_Frame_Decay_decay_consequence,"['Role', 'NamedIndividual', 'Role']",['decay_consequence'],,['Decay.decay_consequence'],,
Role_Frame_Action_acting_entity,"['Role', 'NamedIndividual', 'Role']",['acting_entity'],,['Action.acting_entity'],,
Role_Frame_Motion_along_a_path_motion_x_schema,"['NamedIndividual', 'Role', 'Role']",['motion_x-schema'],['Process'],['Motion along a path.motion_x-schema'],,
Role_Frame_Emotion_emotion_limit,"['NamedIndividual', 'Role', 'Role']",['emotion_limit'],,['Emotion.emotion_limit'],,
Role_Frame_Control_degree_of_control,"['NamedIndividual', 'Role', 'Role']",['degree_of_control'],,['Control.degree_of_control'],,['the extent to which the controlling_entity has control over the dependent_variable']
Role_Frame_Virtual_motion_ending_locus_of_attention,"['Role', 'NamedIndividual', 'Role']",['ending_locus_of_attention'],,['Virtual motion.ending_locus_of_attention'],,
Role_Frame_Process_process_resume,"['NamedIndividual', 'Role', 'Role']",['process_resume'],,['Process.process_resume'],,
