name,label,hasInferentialContent,type,isInferenceOfFrame,hasInferenceType
Inference_153,['Sequence has a temporal order.'],['Sequence has a temporal order.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_589,['making progress'],['making progress'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Purposeful_action'],
Inference_193,['the presence/absence of obstructions...'],['the presence/absence of obstructions affects how well the See-er can see an object'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Seeing'],
Inference_614,['Two people traveling together have...'],['Two people traveling together have a common destination a journey'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Journey'],
Inference_586,['lack of direction'],['lack of direction'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Self_propelled_motion_to_a_destination'],
Inference_168,['Truster could leave self physically...'],['Truster could leave self physically vulnerable to Trusted.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_176,['A multi-person vehicle is a means...'],['A multi-person vehicle is a means for reaching common destinations.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_53,['The effect the disease has on the...'],['The effect the disease has on the patient is related to the nature of the disease.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_199,['Lack of direction'],['Lack of direction'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Motion_to_a_location'],
Inference_190,"[""Knower's personal ability to know...""]","[""Knower's personal ability to know things affects how well he can learn about something""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Knowing'],
Inference_10,"['As anger_level increases, its physiological...']","['body_pressure', 'and redness of face_appearance).', 'body_agitation', 'its physiological effects increase (body_heat', 'As anger_level increases']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_703,['Decreasing well-being'],['Decreasing well-being'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Well_being'],
Inference_336,['loss of a possession'],['loss of a possession'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Possession'],
Inference_192,['the ease with which the Knower...'],['the ease with which the Knower can access knowledge affects how easily he can learn something'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Knowing'],
Inference_489,['Knowing from a perspective'],['Knowing from a perspective'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Knowing'],
Inference_360,['Experiencing average body temp...'],['Experiencing average body temperature'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Temperature'],
Inference_670,"['at end, possessor no longer possesses...']","['possessor no longer possesses object', 'at end']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Lose_possession'],
Inference_215,['Prevention of motion along a p...'],['Prevention of motion along a path'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Motion_along_a_path'],
Inference_294,"[""location can be changed by 'self'/trajector...""]","[""location can be changed by 'self'/trajector (e.g. self-propelled motion)""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Motion_along_a_path'],
Inference_469,['actions can inhibit progress of...'],"['actions can inhibit progress of a bill', 'and may prevent its enactment']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Legislation_enactment'],
Inference_129,"[""Distance less than norm is 'close'/'proximal',...""]","[""distance greater than norm is 'far'/'distal'."", ""Distance less than norm is 'close'/'proximal'""]","['Inference', 'NamedIndividual', 'Inference']",,
Inference_348,['A wild animal ravages its prey'],['A wild animal ravages its prey'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Fierce_animal'],
Inference_692,['Inability to grasp'],['Inability to grasp'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Object_manipulation'],
Inference_656,['past locations along a path'],['past locations along a path'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Bounded_region'],
Inference_444,['Disgusting foods'],['Disgusting foods'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Food'],
Inference_615,['Two people in a relationship have...'],['Two people in a relationship have compatible purposes in a romantic relationship'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Romantic_relationship'],
Inference_101,['The motion impediment negatively...'],"[""The motion impediment negatively affects the mover's motion (e.g. slows or stops motion and/or increases energy needed for mover to move).""]","['NamedIndividual', 'Inference', 'Inference']",,['causal']
Inference_396,"['""down"" end of vertical scale']","['""down"" end of vertical scale']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_12,"[""The barrier_object's 'force-related'...""]","['porosity and/or fixedness)are such that a given type of mover cannot go through it.', ""The barrier_object's 'force-related' properties (e.g. its strength""]","['NamedIndividual', 'Inference', 'Inference']",,['f-d relation']
Inference_74,['the application of force precedes...'],['the application of force precedes or accompanies the movement'],"['NamedIndividual', 'Inference', 'Inference']",,"['causal', 'temporal']"
Inference_238,['burning_object can be on fire at...'],['burning_object can be on fire at low fire_intensity for a long time and then burst into flame (high fire_intensity)'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Fire'],
Inference_284,['moving into a bounded region (...'],['moving into a bounded region (goal)'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Motion_along_a_path'],
Inference_548,['Demolishing a building.'],['Demolishing a building.'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Building'],
Inference_636,['diagnosing the physical afflic...'],['diagnosing the physical affliction'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Physical_affliction'],
Inference_2,"['During process of absorption, the...']","['the absorbent entity becomes progressively wetter and/or full of water', 'During process of absorption']","['NamedIndividual', 'Inference', 'Inference']",,['incremental change of property value (wetness/fullness)']
Inference_610,['A boat on the rocks is immobilized...'],['A boat on the rocks is immobilized but can be repaired and sent back on its way'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Boat_on_the_rocks'],
Inference_493,['Knowing in detail'],['Knowing in detail'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Knowing'],
Inference_673,['Arguing against assumptions of...'],['Arguing against assumptions of theories'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Theory'],
Inference_599,['lesser quantities'],['lesser quantities'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Quantity'],
Inference_88,['the heat_level is greater than...'],['the heat_level is greater than body temperature'],"['Inference', 'NamedIndividual', 'Inference']",,
Inference_245,['Increasing or intensifying ang...'],['Increasing or intensifying anger'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Anger'],
Inference_399,['Remaining good in the face of ...'],['Remaining good in the face of evil'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Goodness'],
Inference_524,['draining or leaking of liquid'],['draining or leaking of liquid'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Liquid'],
Inference_151,"['The speed of motion, elapsed time,...']","['elapsed time', 'and distance travelled are inter-related (D = RT). e.g. higher speed enables mover to cover a given distance in less time or a greater distance in a given time.', 'The speed of motion']","['Inference', 'NamedIndividual', 'Inference']",,
Inference_5,"[""For dynamic situations, the trajector's...""]","['For dynamic situations', ""the trajector's path is perpendicular to the landmark's main axis. The trajector moves from one side of this axis to the other.""]","['Inference', 'NamedIndividual', 'Inference']",,
Inference_500,['nullSourceInference'],['nullSourceInference'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Plants'],
Inference_195,['change in ability to see'],['change in ability to see'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Seeing'],
Inference_57,['A change in emotion_level is accompanied...'],['A change in emotion_level is accompanied by a corresponding change in bodily_effect and face_appearance.'],"['Inference', 'NamedIndividual', 'Inference']",,
Inference_688,['decrease in structural_integri...'],['decrease in structural_integrity'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Building'],
Inference_650,['scalar'],['scalar'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Physical_entity'],
Inference_222,['stage of action'],['stage of action'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Action'],
Inference_569,['nullTargetEntailment'],['nullTargetEntailment'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Positivity_scale'],
Inference_54,['A body becomes sick when diseased_cells...'],['A body becomes sick when diseased_cells reach a sufficient ratio in comparison to healthy_cells.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_425,"['government makes decisions, people...']","['people do what government wants them to', 'government makes decisions']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Government'],
Inference_289,['transition to a state'],['transition to a state'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Change_of_state'],
Inference_27,['state change would not have occured...'],['state change would not have occured without an (external) cause'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_180,"['One end of the scale is ""up"" and...']","['One end of the scale is ""up"" and the other end is ""down"". These are mutually exclusive positions.']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_239,['An anger experiencer can have low...'],['An anger experiencer can have low anger_level for a long time and then suddenly become very angry (high anger_level)'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Anger'],
Inference_214,['things that increase difficulty...'],['things that increase difficulty of action'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Action'],
Inference_68,['Putting out a fire is carried out...'],['Putting out a fire is carried out with a non-flammable liquid. This inference leads to fruitful linguistic metaphors in Zulu but not so much in English (Kovecses 2005:127).'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_318,['Being physically upright'],['Being physically upright'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_125,['If the Possessor does not have...'],"['the possessor does not possess that object.', 'If the Possessor does not have control and/or access to an object']","['NamedIndividual', 'Inference', 'Inference']",,['negation']
Inference_447,['Interesting ideas'],['Interesting ideas'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Idea'],
Inference_314,['containers and vehicles via which...'],['containers and vehicles via which objects are transferred'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Transfer_scenario'],
Inference_522,['results of bodily processes'],['results of bodily processes'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Bodily_functioning'],
Inference_564,['nullSourceInference'],['nullSourceInference'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Overeating'],
Inference_470,['An appetizing food'],['An appetizing food'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Food'],
Inference_681,['Being unable to think about different...'],['Being unable to think about different things'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Thinking_about'],
Inference_384,['bigger object'],['bigger object'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Object'],
Inference_544,['motion towards higher end of verticality...'],['motion towards higher end of verticality scale'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_1,"['Before absorption process, fluid...']","['water moves into absorbent thing.  At finish', 'there is less fluid outside absorbent thing than there was at the beginning of the process.', 'Before absorption process', 'fluid is outside of absorbent thing.  During process']","['Inference', 'NamedIndividual', 'Inference']",,"['change of location (and/or change of quantity of substance at different locations).', 'motion']"
Inference_366,['nullSourceInference'],['nullSourceInference'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Object'],
Inference_311,"['Intially, addressee is not aware...']","['Intially', 'addressee is not aware of message']","['Inference', 'NamedIndividual', 'Inference']",['Frame_Communication'],
Inference_528,['flow of liquid'],['flow of liquid'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Liquid'],
Inference_487,['Knowing overall'],['Knowing overall'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Knowing'],
Inference_75,['the movement would not have occurred...'],['the movement would not have occurred without the application of a force'],"['NamedIndividual', 'Inference', 'Inference']",,['causal']
Inference_329,['being able to control a person...'],['being able to control a person or situation'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_420,['parents are responsible for taking...'],['parents are responsible for taking care of their children'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Nuclear_family'],
Inference_511,['effortfulness of action'],['effortfulness of action'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Action'],
Inference_89,['If fluid_heat_level exceeds the...'],"['the fluid will turn into a form (steam) that rapidly increases the container_pressure.', 'If fluid_heat_level exceeds the fluid_boiling_point']","['NamedIndividual', 'Inference', 'Inference']",,['typical experience']
Inference_595,['another person guide action'],['another person guide action'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Purposeful_action'],
Inference_184,['It is difficult for physical_entity...'],['It is difficult for physical_entity to get out of the water_region.'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_619,['scalar change inovovles incremental...'],['scalar change inovovles incremental changes in scalar values'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Scale'],
Inference_264,['downward motion; motion towards...'],['downward motion; motion towards low(er) location'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Being_at_a_Low_Location'],
Inference_323,['nullTargetEntailment'],['nullTargetEntailment'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Resource_consumption'],
Inference_561,['Leading a nation'],['Leading a nation'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Nation'],
Inference_585,['achieving a purpose'],['achieving a purpose'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Purposeful_action'],
Inference_179,['The driver controls the speed and...'],"['the vehicle is unlikely to reach its destination.', ""The driver controls the speed and direction of the vehicle's motion in order to get the vehicle to the intended destination.  If the driver doesn't know which direction to steer""]","['NamedIndividual', 'Inference', 'Inference']",,
Inference_243,['high anger_level can render mind_condition...'],['high anger_level can render mind_condition nonfunctional'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Anger'],
Inference_412,['The driver controls the speed and...'],"[""The driver controls the speed and direction of the vehicle's motion in order to get the vehicle to the intended destination""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Vehicular_motion'],
Inference_258,['change in possession status'],['change in possession status'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Possession'],
Inference_643,['extent of social problem'],['extent of social problem'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Social_problems'],
Inference_43,['container boundary may prevent...'],['container boundary may prevent physical and/or visual access to contents by agents who are in exterior region (outside of container).'],"['NamedIndividual', 'Inference', 'Inference']",,
Inference_698,['Downward motion along or low point...'],['Downward motion along or low point on a vertical scale'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_697,['Well-being (feeling well physically...'],['Well-being (feeling well physically and/or psychologically)'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Well_being'],
Inference_355,['Taking an important test'],['Taking an important test'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Educational_evaluation'],
Inference_20,"['To be functional, a building needs...']","['a building needs to have structural integrity.', 'To be functional']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_392,['chnage in vertical position'],['chnage in vertical position'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_617,['Difficulties in a romantic rel...'],['Difficulties in a romantic relationship'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Romantic_relationship'],
Inference_345,"['as crime spreads throughout society,...']","['as crime spreads throughout society', 'social functions more poorly']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Crime'],
Inference_658,['Higher point(s) along a vertical...'],['Higher point(s) along a vertical scale'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Verticality'],
Inference_152,"[""Mover's choice of direction will...""]","[""Mover's choice of direction will affect which locations (including Goal) the mover can reach.""]","['Inference', 'NamedIndividual', 'Inference']",,
Inference_251,['The effect of increased anger_level...'],"['The effect of increased anger_level is increased body_heat', 'body_pressure', 'and body_agitation']","['Inference', 'NamedIndividual', 'Inference']",['Frame_Anger'],
Inference_96,['The ability of the machine to function...'],"['The ability of the machine to function (operating_x-schema execution) depends on the state of its physical structure (functional_status).  If a machine is broken', ""it will not function.  If it is 'well-oiled' it will perform more efficiently than if it is 'rusty'.""]","['Inference', 'NamedIndividual', 'Inference']",,
Inference_638,['treating an illness should improve...'],['treating an illness should improve physical health'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Physical_affliction'],
Inference_661,['A decrease in status'],['A decrease in status'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Status'],
Inference_525,['loss of money'],['loss of money'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Money'],
Inference_331,['not being able to control a person...'],['not being able to control a person or possession'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Control'],
Inference_268,['motion upwards; motion away from...'],['motion upwards; motion away from a low location'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Being_at_a_Low_Location'],
Inference_277,"['at initial stage, experiencer does...']","['at initial stage', 'experiencer does not experience state']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Change_of_state'],
Inference_202,['Aids to achieving a purpose'],['Aids to achieving a purpose'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Purposeful_action'],
Inference_415,['a jurisdiction and its populace...'],['a jurisdiction and its populace all share a common fate'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Governing_action'],
Inference_263,['preventing becoming impoverish...'],['preventing becoming impoverished'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Impoverished'],
Inference_637,"['analyzing the cause, scope, etc...']","['analyzing the cause', 'etc of the social problem', 'scope']","['NamedIndividual', 'Inference', 'Inference']",['Frame_Social_problems'],
Inference_154,['If shepherd successfully performs...'],"['If shepherd successfully performs actions', 'sheep will flourish; if not', 'sheep will not flourish (and may become unhealthy or die).']","['NamedIndividual', 'Inference', 'Inference']",,
Inference_185,['being able to see something'],['being able to see something'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Seeing'],
Inference_676,['being in a bounded region of s...'],['being in a bounded region of space'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Motion'],
Inference_382,['lack of possession relation with...'],['lack of possession relation with a particular enity'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Possession'],
Inference_467,['Being unimportant or insignifi...'],['Being unimportant or insignificant'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Importance'],
Inference_73,['The outcome of the interaction...'],"['including the amount of force transferred', 'the direction of that force', 'The outcome of the interaction will depend on several factors', ""and the (resistant) 'strength' of the force_receiver.""]","['NamedIndividual', 'Inference', 'Inference']",,['force-dynamic']
Inference_671,"['at end, controlling entity is no...']","['controlling entity is no longer in control', 'at end']","['Inference', 'NamedIndividual', 'Inference']",['Frame_Control'],
Inference_145,['When you see something you perceive...'],['When you see something you perceive that it exists'],"['Inference', 'NamedIndividual', 'Inference']",,['image schema']
Inference_662,['presence of burden negatively affects...'],"[""presence of burden negatively affects burdened_entity's ability to move or act""]","['NamedIndividual', 'Inference', 'Inference']",['Frame_Burden'],
Inference_704,['ability to access contents'],['ability to access contents'],"['NamedIndividual', 'Inference', 'Inference']",['Frame_Containing'],
Inference_117,['Constructive actions cause an increase...'],['Constructive actions cause an increase in  structural_integrity'],"['Inference', 'NamedIndividual', 'Inference']",,['cause scalar change']
Inference_657,['past states of nation'],['past states of nation'],"['Inference', 'NamedIndividual', 'Inference']",['Frame_Nation'],
