name,hasSourceRole,label,type,hasTargetRole,comment
Mapping_395,['Role_Frame_Vehicular_motion_vehicle_drivers'],['State leadership.nation_leaders<=Vehicular motion.vehicle_drivers'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_State_leadership_nation_leaders'],
Mapping_240,['Role_Frame_Temperature_temperature_scale'],['Emotional intensity.emotional_intensity_scale<=Temperature.temperature_scale'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Emotional_intensity_emotional_intensity_scale'],
Mapping_519,['Role_Frame_Territory_territory_whole'],['Rights.right<=Territory.territory_whole'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Rights_right'],
Mapping_248,['Role_Frame_Forced_motion_motion'],['Legislation enactment.bill_status_change<=Forced motion.motion'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Legislation_enactment_bill_status_change'],
Mapping_79,['Role_Frame_Insanity_insanity'],['Anger.anger<=Insanity.insanity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Anger_anger'],
Mapping_370,['Role_Frame_Machine_functional_status'],['Institution.functional_status<=Machine.functional_status'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Institution_functional_status'],
Mapping_307,['Role_Frame_Vehicular_motion_vehicle'],['Governing action.affected_jurisdiction<=Vehicular motion.vehicle'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Governing_action_affected_jurisdiction'],
Mapping_184,['Role_Frame_Possession_possessor'],['Control.controlling_entity<=Possession.possessor'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Control_controlling_entity'],
Mapping_242,['Role_Frame_Possession_Possessor'],['Emotion.Experiencer<=Possession.Possessor'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Emotion_Experiencer'],
Mapping_494,['Role_Frame_Size_scalar_position'],['Quantity.measure_of_quantity<=Size.scalar_position'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Quantity_measure_of_quantity'],
Mapping_117,['Role_Frame_Verticality_person_in_low_position'],['Morality.immoral_person<=Verticality.person_in_low_position'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Morality_immoral_person'],
Mapping_12,['Role_Frame_Eating_recipient'],['Purposeful action.actor<=Eating.recipient'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Purposeful_action_actor'],
Mapping_396,['Role_Frame_Gain_possession_recipient'],['Learning.learner<=Gain possession.recipient'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Learning_learner'],
Mapping_611,['Role_Frame_Speaking_topic'],['Cognizing.topic<=Speaking.topic'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Cognizing_topic'],
Mapping_337,['Role_Frame_Religious_practice_worshipper'],['Gun possession.gun_owner<=Religious practice.worshipper'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Gun_possession_gun_owner'],
Mapping_324,['Role_Frame_Shepherding_objective_s_'],['Government.governor_objectives<=Shepherding.objective(s)'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Government_governor_objectives'],
Mapping_482,['Role_Frame_Food_preparation_food_preparer'],['Cognizing.thinker<=Food preparation.food_preparer'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Cognizing_thinker'],
Mapping_164,['Role_Frame_Cognizing_bodily_functioning_x_schema'],['Bodily_functioning.cognizing_x-schema<=Cognizing.bodily_functioning_x-schema'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Bodily_functioning_cognizing_x_schema'],
Mapping_214,['Role_Frame_War_battlefield'],['Disease treatment.body<=War.battlefield'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Disease_treatment_body'],
Mapping_270,['Role_Frame_Possession_possess_relation_status'],['Experiencing a state.experienced_state_value<=Possession.possess_relation_status'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Experiencing_a_state_experienced_state_value'],
Mapping_439,['Role_Frame_Complex_physical_object_object_parts'],['Nation.nation_traits<=Complex physical object.object_parts'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Nation_nation_traits'],
Mapping_218,['Role_Frame_Machine_machine_entity'],['Economy.economy_whole<=Machine.machine_entity'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Economy_economy_whole'],
Mapping_566,['Role_Frame_Physical_affliction_patient'],['Social problems.society<=Physical affliction.patient'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Social_problems_society'],
Mapping_453,['Role_Frame_Experience_pain_experiencer'],['Emotion.experiencer<=Experience pain.experiencer'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Emotion_experiencer'],
Mapping_219,['Role_Frame_Machine_functional_status'],['Economy.economic_efficiency<=Machine.functional_status'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Economy_economic_efficiency'],
Mapping_545,['Role_Frame_Adoption_adoptee'],['Selection.selection_option<=Adoption.adoptee'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Selection_selection_option'],
Mapping_25,['Role_Frame_Motion_motion_x_schema'],['Action.action_x-schema<=Motion.motion_x-schema'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Action_action_x_schema'],
Mapping_567,['Role_Frame_Physical_affliction_affliction'],['Social problems.social_problem<=Physical affliction.affliction'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Social_problems_social_problem'],
Mapping_409,['Role_Frame_Journey_journey_companion'],['Life.life_companion<=Journey.journey_companion'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Life_life_companion'],
Mapping_496,['Role_Frame_Verticality_verticality_scale'],['Quantity.quantity_scale<=Verticality.verticality_scale'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Quantity_quantity_scale'],
Mapping_587,['Role_Frame_Burden_burden'],['Taxation.tax<=Burden.burden'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Taxation_tax'],
Mapping_588,['Role_Frame_Physical_harm_agent'],['Taxation.taxer<=Physical harm.agent'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Taxation_taxer'],
Mapping_517,['Role_Frame_Possessable_object_possessor'],['Rights.rights_holder<=Possessable object.possessor'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Rights_rights_holder'],
Mapping_156,['Role_Frame_Motion_along_a_path_source'],['Change of state.initial_state<=Motion along a path.source'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Change_of_state_initial_state'],
Mapping_575,['Role_Frame_Forced_motion_motion'],['Speech act.addressee_action<=Forced motion.motion'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Speech_act_addressee_action'],
Mapping_314,['Role_Frame_Leadership_leader_motion_x_schema'],['Government.governing_actions<=Leadership.leader_motion_x-schema'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Government_governing_actions'],
Mapping_506,['Role_Frame_Physical_structure_structure_whole'],['Relationship.relationship<=Physical structure.structure_whole'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Relationship_relationship'],
Mapping_579,['Role_Frame_Trajector_landmark_background'],['State.state_type<=Trajector landmark.background'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_State_state_type'],
Mapping_27,['Role_Frame_Motion_along_a_path_course_of_motion'],['Action.action_self<=Motion_along_a_path.course_of_motion'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Action_action_self'],
Mapping_24,['Role_Frame_Motion_mover'],['Action.actor<=Motion.mover'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Action_actor'],
Mapping_186,['Role_Frame_Possession_possess_relation'],['Control.control_relation<=Possession.possess_relation'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Control_control_relation'],
Mapping_417,['Role_Frame_Person_health_of_person'],['Machine.good_functioning_of_machine<=Person.health_of_person'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Machine_good_functioning_of_machine'],
Mapping_174,['Role_Frame_Cause_to_see_Shower'],['Communication.communicator<=Cause to see.Shower'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Communication_communicator'],
Mapping_300,['Role_Frame_Biological_entity_health_status'],['Government institution.functional_status<=Biological entity.health_status'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Government_institution_functional_status'],
Mapping_570,['Role_Frame_Physical_connection_connector'],['Social group.member_relation<=Physical connection.connector'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Social_group_member_relation'],
Mapping_64,['Role_Frame_Size_entity'],['State.state_holder<=Size.entity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_State_state_holder'],
Mapping_21,['Role_Frame_Eating_digesting'],['Thinking about.considering<=Eating.digesting'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Thinking_about_considering'],
Mapping_123,['Role_Frame_Possession_possession_relation'],['Belief.belief_relation<=Possession.possession_relation'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Belief_belief_relation'],
Mapping_345,['Role_Frame_Verticality_vertical_physical_structure'],['Organization of power.hierarchical_structure<=Verticality.vertical_physical_structure'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Organization_of_power_hierarchical_structure'],
Mapping_226,['Role_Frame_Competitive_sport_prize'],['Election.office<=Competitive sport.prize'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Election_office'],
Mapping_301,['Role_Frame_Biological_entity_part_function'],['Government institution.position_duties<=Biological entity.part_function'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Government_institution_position_duties'],
Mapping_433,['Role_Frame_Building_building_whole'],['Nation.nation_whole<=Building.building_whole'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Nation_nation_whole'],
Mapping_328,['Role_Frame_Part_whole_whole'],['Group.group<=Part_whole.whole'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Group_group'],
Mapping_462,['Role_Frame_Physical_structure_Physical_structure_x_schema'],['Organization.Organization_x-schema<=Physical structure.Physical_structure_x-schema'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Organization_Organization_x_schema'],
Mapping_640,['Role_Frame_Containing_contents'],['Part whole.parts<=Containing.contents'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Part_whole_parts'],
Mapping_631,['Role_Frame_Motion_along_a_path_course_of_motion'],['Virtual motion.pathway_scanned<=Motion along a path.course_of_motion'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Virtual_motion_pathway_scanned'],
Mapping_46,['Role_Frame_Treating_a_physical_affliction_treatment_provider'],['Addressing social problems.problem_solvers<=Treating a physical affliction.treatment_provider'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Addressing_social_problems_problem_solvers'],
Mapping_436,['Role_Frame_Building_building_framework'],['Nation.nation_infrastructure<=Building.building_framework'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Nation_nation_infrastructure'],
Mapping_355,['Role_Frame_Size_scalar_position'],['Importance.degree_of_importance<=Size.scalar_position'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Importance_degree_of_importance'],
Mapping_419,['Role_Frame_Bodily_functioning_body_structure'],['Cognizing.mind_structure<=Bodily functioning.body_structure'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Cognizing_mind_structure'],
Mapping_460,['Role_Frame_Machine_procedures_for_operation'],['Organization.organization_procedures<=Machine.procedures_for_operation'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Organization_organization_procedures'],
Mapping_98,['Role_Frame_Object_collection_removing_collection'],['Arithmetic.subtraction<=Object collection.removing_collection'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Arithmetic_subtraction'],['Taking a smaller collection from a larger collection is subtraction']
Mapping_547,['Role_Frame_Self_propelled_motion_to_a_destination_self_motion_x_schema'],['Self-initiated state change.self-initiated_change_x-schema<=Self propelled motion to a destination.self-motion_x-schema'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Self_initiated_state_change_self_initiated_change_x_schema'],
Mapping_115,['Role_Frame_Upright_posture_upright_person'],['Moral goodness.good_person<=Upright posture.upright_person'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Moral_goodness_good_person'],
Mapping_420,['Role_Frame_Bodily_functioning_bodily_capacity'],['Cognizing.mental_capacticy<=Bodily functioning.bodily_capacity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Cognizing_mental_capacticy'],
Mapping_446,['Role_Frame_Machine_functional_status'],['Nation.state_of_nation<=Machine.functional_status'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Nation_state_of_nation'],
Mapping_118,['Role_Frame_Being_at_a_Low_Location_located_thing'],['Impoverished.experiencer<=Being at a Low Location.located_thing'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Impoverished_experiencer'],
Mapping_162,['Role_Frame_Physical_structure_structure_whole'],['Rights.right<=Physical structure.structure_whole'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Rights_right'],
Mapping_620,['Role_Frame_Building_building_integrity'],['Trust relationship.relationship_intensity<=Building.building_integrity'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Trust_relationship_relationship_intensity'],
Mapping_10,['Role_Frame_Gain_possession_getting_x_schema'],['Purposeful action.action_x-schema<=Gain possession.getting_x-schema'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Purposeful_action_action_x_schema'],['action.x-schema.final = achivening purpose; getting_x-schema.final = gaining possession']
Mapping_197,['Role_Frame_Erosion_eroding_process'],['Corruption.corrupt_activities<=Erosion.eroding_process'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Corruption_corrupt_activities'],"['x-schema: progressive, slow, ongoing']"
Mapping_518,['Role_Frame_Possessable_object_possession'],['Rights.right<=Possessable object.possession'],"['NamedIndividual', 'Mapping', 'Mapping']",['Role_Frame_Rights_right'],
Mapping_530,['Role_Frame_Source_path_goal_source'],['Scale.minimal value<=Source path goal.source'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Scale_minimal_value'],
Mapping_512,['Role_Frame_Physical_structure_structural_integrity'],['Relationship.relationship_intensity<=Physical structure.structural_integrity'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Relationship_relationship_intensity'],
Mapping_492,['Role_Frame_Size_entity'],['Quantity.entity<=Size.entity'],"['Mapping', 'NamedIndividual', 'Mapping']",['Role_Frame_Quantity_entity'],
