Article,,Article_col,Sentence,Tokens,Borderline_metaphor,Real_metaphors,Frame_label,Token_lemma,is_target,distance_from_target
1,59,1,1,goes,1,0,Transition_to_a_quality,go,False,13
1,60,1,1,unrequited,0,0,_,unrequited,False,14
1,61,1,1,.,0,0,_,.,False,15
2,62,2,0,by,0,0,_,by,False,-15
2,63,2,0,Pueblos,0,0,_,pueblo,False,-14
2,64,2,0,for,0,0,_,for,False,-13
2,65,2,0,whom,0,0,_,whom,False,-12
2,66,2,0,making,1,0,_,make,False,-11
2,67,2,0,such,0,0,_,such,False,-10
2,68,2,0,knowledge,0,0,Awareness,knowledge,False,-9
2,69,2,0,public,0,0,Secrecy_status,public,False,-8
2,70,2,0,was,0,0,_,be,False,-7
2,71,2,0,a,0,0,_,a,False,-6
2,72,2,0,sacrilege,0,0,Social_interaction_evaluation,sacrilege,False,-5
2,73,2,0,or,0,0,_,or,False,-4
2,74,2,0,by,0,0,_,by,False,-3
2,75,2,0,white,0,0,Color,white,False,-2
2,76,2,0,folks,0,0,People,folk,False,-1
2,77,2,0,burning,1,1,Fire_burning,burn,True,0
2,78,2,0,with,1,0,_,with,False,1
2,79,2,0,desire,0,0,Desiring,desire,False,2
2,80,2,0,to,0,0,_,to,False,3
2,81,2,0,know,0,0,Awareness,know,False,4
2,82,2,0,sacred,0,0,_,sacred,False,5
2,83,2,0,secrets,0,0,Secrecy_status,secret,False,6
2,84,2,0,.,0,0,_,.,False,7
2,85,2,1,The,0,0,_,the,False,8
2,86,2,1,result,0,0,Causation,result,False,9
2,87,2,1,was,0,0,_,be,False,10
2,88,2,1,that,0,0,_,that,False,11
2,89,2,1,only,0,0,_,only,False,12
2,90,2,1,we,0,0,_,we,False,13
2,91,2,1,scholars,0,0,Education_teaching,scholar,False,14
2,92,2,1,with,0,0,_,with,False,15
3,93,3,0,at,1,0,_,at,False,-15
3,94,3,0,the,0,0,_,the,False,-14
3,95,3,0,same,0,0,Identicality,same,False,-13
3,96,3,0,time,0,0,_,time,False,-12
3,97,3,0,requires,0,0,Have_as_requirement,require,False,-11
3,98,3,0,his,0,0,_,his,False,-10
3,99,3,0,sperm,0,0,_,sperm,False,-9
3,100,3,0,:,0,0,_,:,False,-8
3,101,3,0,a,0,0,_,a,False,-7
3,102,3,0,``,0,0,_,`,False,-6
3,103,3,0,famished,1,1,Biological_urge,famished,False,-5
3,104,3,0,stomach,0,0,Body_parts,stomach,False,-4
3,105,3,0,",",0,0,_,",",False,-3
3,106,3,0,a,0,0,_,a,False,-2
3,107,3,0,belly,0,0,Body_parts,belly,False,-1
3,108,3,0,burning,1,0,Fire_burning,burn,True,0
3,109,3,0,with,1,0,_,with,False,1
3,110,3,0,desire,0,0,Desiring,desire,False,2
3,111,3,0,",",0,0,_,",",False,3
3,112,3,0,a,0,0,_,a,False,4
3,113,3,0,hollow,1,1,_,hollow,False,5
3,114,3,0,and,0,0,_,and,False,6
3,115,3,0,lazy,1,1,_,lazy,False,7
3,116,3,0,thing,0,0,Entity,thing,False,8
3,117,3,0,that,0,0,_,that,False,9
3,118,3,0,draws,1,0,Reliance,draw,False,10
3,119,3,0,on,1,0,_,on,False,11
3,120,3,0,masculine,0,0,_,masculine,False,12
3,121,3,0,strength,0,0,_,strength,False,13
3,122,3,0,",",0,0,_,",",False,14
3,123,3,0,devouring,1,1,Ingestion,devour,False,15
4,124,4,0,?,0,0,_,?,False,-15
4,125,4,1,-,0,0,_,-,False,-14
4,126,4,1,and,0,0,_,and,False,-13
4,127,4,1,did,0,0,_,do,False,-12
4,128,4,1,the,0,0,_,the,False,-11
4,129,4,1,dust,1,1,_,dust,False,-10
4,130,4,1,Of,0,0,_,of,False,-9
4,131,4,1,these,1,0,_,these,False,-8
4,132,4,1,fair,1,1,_,fair,False,-7
4,133,4,1,solitudes,0,0,_,solitude,False,-6
4,134,4,1,once,0,0,Event_instance,once,False,-5
4,135,4,1,stir,1,1,_,stir,False,-4
4,136,4,1,with,1,0,_,with,False,-3
4,137,4,1,life,0,0,_,life,False,-2
4,138,4,1,And,0,0,_,and,False,-1
4,139,4,1,burn,1,0,Fire_burning,burn,True,0
4,140,4,1,with,1,0,_,with,False,1
4,141,4,1,passion,0,0,_,passion,False,2
4,142,4,1,?,0,0,_,?,False,3
4,143,4,2,Let,0,0,Preventing_or_letting,let,False,4
4,144,4,2,the,0,0,_,the,False,5
4,145,4,2,mighty,1,1,_,mighty,False,6
4,146,4,2,mounds,0,0,Locale_by_use,mound,False,7
4,147,4,2,That,0,0,_,that,False,8
4,148,4,2,overlook,0,0,_,overlook,False,9
4,149,4,2,the,0,0,_,the,False,10
4,150,4,2,rivers,0,0,Natural_features,river,False,11
4,151,4,2,",",0,0,_,",",False,12
4,152,4,2,or,0,0,_,or,False,13
4,153,4,2,that,0,0,_,that,False,14
4,154,4,2,rise,1,0,Motion_directional,rise,False,15
5,155,5,0,opportunity,0,0,_,opportunity,False,-14
5,156,5,0,to,0,0,_,to,False,-13
5,157,5,0,chat,0,0,Chatting,chat,False,-12
5,158,5,0,``,0,0,_,`,False,-11
5,159,5,0,woman,0,0,People,woman,False,-10
5,160,5,0,to,1,0,_,to,False,-9
5,161,5,0,woman.,0,0,People,woman,False,-8
5,162,5,0,``,0,0,_,`,False,-7
5,163,5,1,When,0,0,Temporal_collocation,when,False,-6
5,164,5,1,Lucrece,0,0,_,Lucrece,False,-5
5,165,5,1,confesses,0,0,Reveal_secret,confess,False,-4
5,166,5,1,that,0,0,_,that,False,-3
5,167,5,1,she,0,0,_,she,False,-2
5,168,5,1,is,0,0,_,be,False,-1
5,169,5,1,burning,1,1,Fire_burning,burn,True,0
5,170,5,1,with,1,0,_,with,False,1
5,171,5,1,passion,0,0,_,passion,False,2
5,172,5,1,",",0,0,_,",",False,3
5,173,5,1,Dona,0,0,_,Dona,False,4
5,174,5,1,Anna,0,0,_,Anna,False,5
5,175,5,1,expresses,0,0,Expressing_publicly,express,False,6
5,176,5,1,in,1,0,_,in,False,7
5,177,5,1,an,0,0,_,an,False,8
5,178,5,1,aside,0,0,_,aside,False,9
5,179,5,1,her,0,0,_,she,False,10
5,180,5,1,shock,1,0,Emotion_directed,shock,False,11
5,181,5,1,at,1,0,_,at,False,12
5,182,5,1,a,0,0,_,a,False,13
5,183,5,1,lady,0,0,People,lady,False,14
5,184,5,1,using,0,0,Using,use,False,15
6,185,6,0,heart,1,1,_,heart,False,-15
6,186,6,0,of,0,0,_,of,False,-14
6,187,6,0,the,0,0,_,the,False,-13
6,188,6,0,knight,0,0,_,knight,False,-12
6,189,6,0,",",0,0,_,",",False,-11
6,190,6,0,causing,0,0,Causation,cause,False,-10
6,191,6,0,such,0,0,Degree,such,False,-9
6,192,6,0,severe,1,1,_,severe,False,-8
6,193,6,0,distress,0,0,Emotion_directed,distress,False,-7
6,194,6,0,that,0,0,_,that,False,-6
6,195,6,0,his,0,0,_,his,False,-5
6,196,6,0,entire,0,0,Ranked_expectation,entire,False,-4
6,197,6,0,mind,0,0,_,mind,False,-3
6,198,6,0,and,0,0,_,and,False,-2
6,199,6,0,heart,0,0,_,heart,False,-1
6,200,6,0,burn,1,0,Fire_burning,burn,True,0
6,201,6,0,in,1,0,_,in,False,1
6,202,6,0,love,0,0,Personal_relationship,love,False,2
6,203,6,0,'s,0,0,_,be,False,3
6,204,6,0,fire,1,0,Fire_burning,fire,False,4
6,205,6,0,through,1,0,_,through,False,5
6,206,6,0,the,0,0,_,the,False,6
6,207,6,0,affliction,0,0,Medical_conditions,affliction,False,7
6,208,6,0,of,0,0,_,of,False,8
6,209,6,0,his,0,0,_,his,False,9
6,210,6,0,heart,0,0,_,heart,False,10
6,211,6,0,.,0,0,_,.,False,11
6,212,6,1,Here,0,0,Locative_relation,here,False,12
6,213,6,1,",",0,0,_,",",False,13
6,214,6,1,as,0,0,_,as,False,14
6,215,6,1,in,0,0,_,in,False,15
7,216,7,0,Eye,0,0,Body_parts,Eye,False,-15
7,217,7,0,of,0,0,_,of,False,-14
7,218,7,0,the,0,0,_,the,False,-13
7,219,7,0,Sun,0,0,_,Sun,False,-12
7,220,7,0,(,0,0,_,(,False,-11
7,221,7,0,Tr,0,0,_,tr,False,-10
7,222,7,0,.,0,0,_,.,False,-9
7,223,7,1,Desmond,0,0,_,desmond,False,-8
7,224,7,1,Stewart,0,0,_,Stewart,False,-7
7,225,7,1,),0,0,_,),False,-6
7,226,7,1,and,0,0,_,and,False,-5
7,227,7,1,I,0,0,_,I,False,-4
7,228,7,1,am,0,0,_,be,False,-3
7,229,7,1,Born,0,0,Being_born,bear,False,-2
7,230,7,1,and,0,0,_,and,False,-1
7,231,7,1,Burnt,1,1,_,burn,True,0
7,232,7,1,in,1,0,_,in,False,1
7,233,7,1,Love,0,0,Experiencer_focus,love,False,2
7,234,7,1,;,0,0,_,;,False,3
7,235,7,1,Lament,0,0,Experiencer_focus,lament,False,4
7,236,7,1,for,0,0,_,for,False,5
7,237,7,1,the,0,0,_,the,False,6
7,238,7,1,June,0,0,Calendric_unit,June,False,7
7,239,7,1,Sun,0,0,Calendric_unit,Sun,False,8
7,240,7,1,;,0,0,_,;,False,9
7,241,7,1,Love,0,0,Experiencer_focus,love,False,10
7,242,7,1,under,0,0,Non-gradable_proximity,under,False,11
7,243,7,1,the,0,0,_,the,False,12
7,244,7,1,Rain,0,0,Precipitation,rain,False,13
7,245,7,1,(,0,0,_,(,False,14
7,246,7,1,Tr,0,0,_,tr,False,15
8,247,8,0,80-82.,0,0,_,80,False,-16
8,248,8,0,rpt,0,0,_,rpt,False,-15
8,249,8,0,.,0,0,_,.,False,-14
8,250,8,1,in,0,0,Interior_profile_relation,in,False,-13
8,251,8,1,AK,0,0,_,AK,False,-12
8,252,8,1,:,0,0,_,:,False,-11
8,253,8,1,109-111,0,0,_,109,False,-10
8,254,8,1,.,0,0,_,.,False,-9
8,255,8,2,#,0,0,_,#,False,-8
8,256,8,2,--,0,0,_,--,False,-7
8,257,8,2,.,0,0,_,.,False,-6
8,258,8,2,``,0,0,_,`,False,-5
8,259,8,3,I,0,0,_,I,False,-4
8,260,8,3,am,0,0,_,be,False,-3
8,261,8,3,Born,0,0,Being_born,bear,False,-2
8,262,8,3,and,0,0,_,and,False,-1
8,263,8,3,Burnt,1,1,_,burn,True,0
8,264,8,3,in,1,0,_,in,False,1
8,265,8,3,Love.,0,0,Personal_relationship,love,False,2
8,266,8,3,``,0,0,_,`,False,3
8,267,8,4,Tr,0,0,_,tr,False,4
8,268,8,4,.,0,0,_,.,False,5
8,269,8,5,G.,0,0,_,G.,False,6
8,270,8,5,Masri,0,0,_,Masri,False,7
8,271,8,5,.,0,0,_,.,False,8
8,272,8,6,UR,0,0,_,UR,False,9
8,273,8,6,(,0,0,_,(,False,10
8,274,8,6,Autumn,0,0,Calendric_unit,Autumn,False,11
8,275,8,6,1979,0,0,_,1979,False,12
8,276,8,6,),0,0,_,),False,13
8,277,8,6,:,0,0,_,:,False,14
9,278,9,0,(,0,0,_,(,False,-15
9,279,9,0,Tr,0,0,_,tr,False,-14
9,280,9,0,.,0,0,_,.,False,-13
9,281,9,1,Desmond,0,0,_,desmond,False,-12
9,282,9,1,Stewart,0,0,_,Stewart,False,-11
9,283,9,1,),0,0,_,),False,-10
9,284,9,1,Love,0,0,Experiencer_focus,love,False,-9
9,285,9,1,under,1,0,Non-gradable_proximity,under,False,-8
9,286,9,1,the,0,0,_,the,False,-7
9,287,9,1,Rain,0,0,Precipitation,rain,False,-6
9,288,9,1,;,0,0,_,;,False,-5
9,289,9,1,I,0,0,_,I,False,-4
9,290,9,1,am,0,0,_,be,False,-3
9,291,9,1,Born,0,0,Being_born,bear,False,-2
9,292,9,1,and,0,0,_,and,False,-1
9,293,9,1,Burnt,1,1,_,burn,True,0
9,294,9,1,in,1,0,_,in,False,1
9,295,9,1,Love,0,0,_,love,False,2
9,296,9,1,(,0,0,_,(,False,3
9,297,9,1,Tr,0,0,_,tr,False,4
9,298,9,1,.,0,0,_,.,False,5
9,299,9,2,George,0,0,_,George,False,6
9,300,9,2,Masri,0,0,_,Masri,False,7
9,301,9,2,),0,0,_,),False,8
9,302,9,2,;,0,0,_,;,False,9
9,303,9,2,Lament,0,0,Judgment,lament,False,10
9,304,9,2,for,0,0,_,for,False,11
9,305,9,2,the,0,0,_,the,False,12
9,306,9,2,June,0,0,Calendric_unit,June,False,13
9,307,9,2,Sun,0,0,_,Sun,False,14
9,308,9,2,.,0,0,_,.,False,15
10,309,10,0,who,0,0,_,who,False,-15
10,310,10,0,possesses,0,0,Possession,possess,False,-14
10,311,10,0,an,0,0,_,an,False,-13
10,312,10,0,incredible,0,0,_,incredible,False,-12
10,313,10,0,gift,0,0,Giving,gift,False,-11
10,314,10,0,of,0,0,_,of,False,-10
10,315,10,0,``,0,0,_,`,False,-9
10,316,10,0,boundless,1,1,_,boundless,False,-8
10,317,10,0,Divine,0,0,_,divine,False,-7
10,318,10,0,Monition,0,0,_,monition,False,-6
10,319,10,0,and,0,0,_,and,False,-5
10,320,10,0,Prophecy,0,0,_,prophecy,False,-4
10,321,10,0,``,0,0,_,`,False,-3
10,322,10,0,and,0,0,_,and,False,-2
10,323,10,0,who,0,0,_,who,False,-1
10,324,10,0,burns,1,1,Fire_burning,burn,True,0
10,325,10,0,with,1,0,_,with,False,1
10,326,10,0,zeal,0,0,_,zeal,False,2
10,327,10,0,to,0,0,_,to,False,3
10,328,10,0,share,1,0,_,share,False,4
10,329,10,0,it,0,0,_,it,False,5
10,330,10,0,with,1,0,_,with,False,6
10,331,10,0,the,0,0,_,the,False,7
10,332,10,0,whole,0,0,Ranked_expectation,whole,False,8
10,333,10,0,world.69,0,0,Political_locales,world.69,False,9
10,334,10,0,He,0,0,_,he,False,10
10,335,10,0,then,0,0,Temporal_collocation,then,False,11
10,336,10,0,proceeds,0,0,Activity_ongoing,proceed,False,12
10,337,10,0,to,0,0,_,to,False,13
10,338,10,0,impart,0,0,_,impart,False,14
10,339,10,0,some,0,0,_,some,False,15
11,340,11,0,Discipline,0,0,Education_teaching,discipline,False,-15
11,341,11,0,makes,1,0,Causation,make,False,-14
11,342,11,0,them,0,0,_,they,False,-13
11,343,11,0,strangers,0,0,Indigenous_origin,stranger,False,-12
11,344,11,0,to,1,0,_,to,False,-11
11,345,11,0,women,0,0,People,woman,False,-10
11,346,11,0,:,0,0,_,:,False,-9
11,347,11,0,for,0,0,_,for,False,-8
11,348,11,0,want,0,0,Desiring,want,False,-7
11,349,11,0,of,0,0,_,of,False,-6
11,350,11,0,conversation,0,0,Chatting,conversation,False,-5
11,351,11,0,with,1,0,_,with,False,-4
11,352,11,0,them,0,0,_,they,False,-3
11,353,11,0,",",0,0,_,",",False,-2
11,354,11,0,they,0,0,_,they,False,-1
11,355,11,0,burn,1,1,Fire_burning,burn,True,0
11,356,11,0,in,1,0,_,in,False,1
11,357,11,0,lust,0,0,Experiencer_focus,lust,False,2
11,358,11,0,one,0,0,_,one,False,3
11,359,11,0,towards,1,0,_,towards,False,4
11,360,11,0,another,0,0,Increment,another,False,5
11,361,11,0,.,0,0,_,.,False,6
11,362,11,1,#,0,0,_,#,False,7
11,363,11,1,This,1,0,_,this,False,8
11,364,11,1,passion,1,1,Experiencer_focus,passion,False,9
11,365,11,1,is,0,0,_,be,False,10
11,366,11,1,not,0,0,_,not,False,11
11,367,11,1,only,0,0,_,only,False,12
11,368,11,1,among,1,0,_,among,False,13
11,369,11,1,the,0,0,_,the,False,14
11,370,11,1,young,0,0,Age,young,False,15
12,371,12,0,When,0,0,Temporal_collocation,when,False,-15
12,372,12,0,you,0,0,_,you,False,-14
12,373,12,0,',0,0,_,',False,-13
12,374,12,0,re,0,0,_,re,False,-12
12,375,12,0,feeling,1,0,Feeling,feel,False,-11
12,376,12,0,anxious,0,0,Emotion_directed,anxious,False,-10
12,377,12,0,",",0,0,_,",",False,-9
12,378,12,0,getting,0,0,Self_motion,get,False,-8
12,379,12,0,up,0,0,Self_motion,up,False,-7
12,380,12,0,out,0,0,_,out,False,-6
12,381,12,0,of,0,0,_,of,False,-5
12,382,12,0,your,0,0,_,your,False,-4
12,383,12,0,chair,0,0,_,chair,False,-3
12,384,12,0,can,0,0,Possibility,can,False,-2
12,385,12,0,literally,0,0,_,literally,False,-1
12,386,12,0,burn,1,0,_,burn,True,0
12,387,12,0,off,1,0,_,off,False,1
12,388,12,0,nervousness,0,0,Experiencer_focus,nervousness,False,2
12,389,12,0,.,0,0,_,.,False,3
12,390,12,1,Writers,0,0,_,writer,False,4
12,391,12,1,have,0,0,Possession,have,False,5
12,392,12,1,busy,1,0,Lively_place,busy,False,6
12,393,12,1,brains,0,0,_,brain,False,7
12,394,12,1,",",0,0,_,",",False,8
12,395,12,1,and,0,0,_,and,False,9
12,396,12,1,it,0,0,_,it,False,10
12,397,12,1,',0,0,_,',False,11
12,398,12,1,s,0,0,_,s,False,12
12,399,12,1,easy,0,0,Difficulty,easy,False,13
12,400,12,1,to,0,0,_,to,False,14
12,401,12,1,over,1,0,_,over,False,15
13,402,13,0,who,0,0,_,who,False,-15
13,403,13,0,falls,0,0,Motion_directional,fall,False,-14
13,404,13,0,from,0,0,_,from,False,-13
13,405,13,0,the,0,0,_,the,False,-12
13,406,13,0,sky,0,0,_,sky,False,-11
13,407,13,0,and,0,0,_,and,False,-10
13,408,13,0,they,0,0,_,they,False,-9
13,409,13,0,search,0,0,Scrutiny,search,False,-8
13,410,13,0,for,0,0,_,for,False,-7
13,411,13,0,Laputa,0,0,_,Laputa,False,-6
13,412,13,0,",",0,0,_,",",False,-5
13,413,13,0,beginning,0,0,Activity_start,begin,False,-4
13,414,13,0,a,0,0,_,a,False,-3
13,415,13,0,journey,0,0,Travel,journey,False,-2
13,416,13,0,that,0,0,_,that,False,-1
13,417,13,0,burns,1,1,Fire_burning,burn,True,0
13,418,13,0,with,1,0,_,with,False,1
13,419,13,0,courage,0,0,_,courage,False,2
13,420,13,0,and,0,0,_,and,False,3
13,421,13,0,love,0,0,Experiencer_focus,love,False,4
13,422,13,0,...,0,0,_,...,False,5
13,423,13,0,Go,0,0,_,go,False,6
13,424,13,0,Pazu,0,0,_,Pazu,False,7
13,425,13,0,!,0,0,_,!,False,8
13,426,13,1,Protect,0,0,Protecting,protect,False,9
13,427,13,1,Sheeta,0,0,_,Sheeta,False,10
13,428,13,1,...,0,0,_,...,False,11
13,429,13,1,',0,0,_,',False,12
13,430,13,1,(,0,0,_,(,False,13
13,431,13,1,Studio,0,0,_,studio,False,14
13,432,13,1,Ghibli,0,0,_,Ghibli,False,15
14,433,14,0,remain,0,0,State_continue,remain,False,-15
14,434,14,0,silent,0,0,Volubility,silent,False,-14
14,435,14,0,",",0,0,_,",",False,-13
14,436,14,0,when,0,0,Temporal_collocation,when,False,-12
14,437,14,0,I,0,0,_,I,False,-11
14,438,14,0,and,0,0,_,and,False,-10
14,439,14,0,so,0,0,_,so,False,-9
14,440,14,0,many,0,0,Quantified_mass,many,False,-8
14,441,14,0,of,0,0,Partitive,of,False,-7
14,442,14,0,my,0,0,_,my,False,-6
14,443,14,0,sisters,0,0,Kinship,sister,False,-5
14,444,14,0,were,0,0,_,be,False,-4
14,445,14,0,disappointed,0,0,Emotion_directed,disappoint,False,-3
14,446,14,0,--,0,0,_,--,False,-2
14,447,14,0,or,0,0,_,or,False,-1
14,448,14,0,burned,1,1,Cause_harm,burn,True,0
14,449,14,0,with,1,0,_,with,False,1
14,450,14,0,shame,0,0,Experiencer_focus,shame,False,2
14,451,14,0,--,0,0,_,--,False,3
14,452,14,0,that,0,0,_,that,False,4
14,453,14,0,we,0,0,_,we,False,5
14,454,14,0,could,0,0,Possibility,could,False,6
14,455,14,0,no,0,0,Temporal_collocation,no,False,7
14,456,14,0,longer,0,0,Temporal_collocation,long,False,8
14,457,14,0,participate,0,0,Participation,participate,False,9
14,458,14,0,in,1,0,_,in,False,10
14,459,14,0,such,0,0,_,such,False,11
14,460,14,0,a,0,0,_,a,False,12
14,461,14,0,silly,0,0,Mental_property,silly,False,13
14,462,14,0,little,1,0,_,little,False,14
14,463,14,0,game,0,0,_,game,False,15
15,464,15,0,Personality,0,0,_,personality,False,-15
15,465,15,0,Disorder,0,0,Medical_conditions,disorder,False,-14
15,466,15,0,.,0,0,_,.,False,-13
15,467,15,1,It,0,0,_,it,False,-12
15,468,15,1,is,0,0,_,be,False,-11
15,469,15,1,like,0,0,Similarity,like,False,-10
15,470,15,1,becoming,0,0,Becoming,become,False,-9
15,471,15,1,infected,1,1,_,infect,False,-8
15,472,15,1,with,1,0,_,with,False,-7
15,473,15,1,emotional-malaria,0,0,_,emotional,False,-6
15,474,15,1,.,0,0,_,.,False,-5
15,475,15,2,One,0,0,Cardinal_numbers,one,False,-4
15,476,15,2,moment,0,0,Measure_duration,moment,False,-3
15,477,15,2,you,0,0,_,you,False,-2
15,478,15,2,'re,0,0,_,be,False,-1
15,479,15,2,burning,1,1,Fire_burning,burn,True,0
15,480,15,2,with,1,0,_,with,False,1
15,481,15,2,fever,0,0,Medical_conditions,fever,False,2
15,482,15,2,.,0,0,_,.,False,3
15,483,15,3,In,1,0,_,in,False,4
15,484,15,3,the,0,0,_,the,False,5
15,485,15,3,next,1,0,_,next,False,6
15,486,15,3,instant,0,0,_,instant,False,7
15,487,15,3,your,0,0,_,your,False,8
15,488,15,3,teeth,0,0,Body_parts,tooth,False,9
15,489,15,3,chatter,1,1,Make_noise,chatter,False,10
15,490,15,3,like,0,0,_,like,False,11
15,491,15,3,chilled,0,0,_,chill,False,12
15,492,15,3,jackhammers,0,0,_,jackhammer,False,13
15,493,15,3,.,0,0,_,.,False,14
15,494,15,4,But,0,0,_,but,False,15
16,495,16,0,be,0,0,_,be,False,-15
16,496,16,0,aggressive,0,0,_,aggressive,False,-14
16,497,16,0,",",0,0,_,",",False,-13
16,498,16,0,and,0,0,_,and,False,-12
16,499,16,0,that,1,0,_,that,False,-11
16,500,16,0,is,0,0,_,be,False,-10
16,501,16,0,why,0,0,Reason,why,False,-9
16,502,16,0,chaperonage,0,0,_,chaperonage,False,-8
16,503,16,0,was,0,0,_,be,False,-7
16,504,16,0,around,1,0,_,around,False,-6
16,505,16,0,:,0,0,_,:,False,-5
16,506,16,0,if,0,0,_,if,False,-4
16,507,16,0,you,0,0,_,you,False,-3
16,508,16,0,do,0,0,_,do,False,-2
16,509,16,0,not,0,0,_,not,False,-1
16,510,16,0,burn,1,1,Fire_burning,burn,True,0
16,511,16,0,with,1,0,_,with,False,1
16,512,16,0,desire,0,0,Desiring,desire,False,2
16,513,16,0,for,0,0,_,for,False,3
16,514,16,0,your,0,0,_,your,False,4
16,515,16,0,amorata,0,0,Personal_relationship,amorata,False,5
16,516,16,0,do,0,0,_,do,False,6
16,517,16,0,n't,0,0,_,not,False,7
16,518,16,0,marry,0,0,Forming_relationships,marry,False,8
16,519,16,0,.,0,0,_,.,False,9
16,520,16,1,I,0,0,_,I,False,10
16,521,16,1,missed,1,0,Success_or_failure,miss,False,11
16,522,16,1,cues,1,1,_,cue,False,12
16,523,16,1,where,0,0,Locative_relation,where,False,13
16,524,16,1,I,0,0,_,I,False,14
16,525,16,1,was,0,0,_,be,False,15
17,526,17,0,9,0,0,_,9,False,-15
17,527,17,0,translates,1,1,Communicate_categorization,translate,False,-14
17,528,17,0,the,0,0,_,the,False,-13
17,529,17,0,last,0,0,Relative_time,last,False,-12
17,530,17,0,phrase,0,0,Simple_name,phrase,False,-11
17,531,17,0,as,0,0,_,as,False,-10
17,532,17,0,``,0,0,_,`,False,-9
17,533,17,0,for,0,0,Causation,for,False,-8
17,534,17,0,it,0,0,_,it,False,-7
17,535,17,0,is,0,0,_,be,False,-6
17,536,17,0,better,0,0,Usefulness,well,False,-5
17,537,17,0,to,0,0,_,to,False,-4
17,538,17,0,marry,0,0,Forming_relationships,marry,False,-3
17,539,17,0,than,0,0,_,than,False,-2
17,540,17,0,to,0,0,_,to,False,-1
17,541,17,0,burn,1,1,Fire_burning,burn,True,0
17,542,17,0,with,1,0,_,with,False,1
17,543,17,0,passion,0,0,_,passion,False,2
17,544,17,0,``,0,0,_,`,False,3
17,545,17,0,",",0,0,_,",",False,4
17,546,17,0,but,0,0,Concessive,but,False,5
17,547,17,0,``,0,0,_,`,False,6
17,548,17,0,with,1,0,_,with,False,7
17,549,17,0,passion,0,0,_,passion,False,8
17,550,17,0,``,0,0,_,`,False,9
17,551,17,0,is,0,0,_,be,False,10
17,552,17,0,not,0,0,_,not,False,11
17,553,17,0,implied,0,0,Communication,imply,False,12
17,554,17,0,here,1,0,Locative_relation,here,False,13
17,555,17,0,nor,0,0,_,nor,False,14
17,556,17,0,are,0,0,_,be,False,15
18,557,18,0,all,0,0,_,all,False,-15
