name,hasSourceRole,hasTargetRole,label,comment
Mapping_370,['Role_Frame_Machine_functional_status'],['Role_Frame_Institution_functional_status'],['Institution.functional_status<=Machine.functional_status'],
Mapping_307,['Role_Frame_Vehicular_motion_vehicle'],['Role_Frame_Governing_action_affected_jurisdiction'],['Governing action.affected_jurisdiction<=Vehicular motion.vehicle'],
Mapping_184,['Role_Frame_Possession_possessor'],['Role_Frame_Control_controlling_entity'],['Control.controlling_entity<=Possession.possessor'],
Mapping_242,['Role_Frame_Possession_Possessor'],['Role_Frame_Emotion_Experiencer'],['Emotion.Experiencer<=Possession.Possessor'],
Mapping_494,['Role_Frame_Size_scalar_position'],['Role_Frame_Quantity_measure_of_quantity'],['Quantity.measure_of_quantity<=Size.scalar_position'],
Mapping_117,['Role_Frame_Verticality_person_in_low_position'],['Role_Frame_Morality_immoral_person'],['Morality.immoral_person<=Verticality.person_in_low_position'],
Mapping_12,['Role_Frame_Eating_recipient'],['Role_Frame_Purposeful_action_actor'],['Purposeful action.actor<=Eating.recipient'],
Mapping_396,['Role_Frame_Gain_possession_recipient'],['Role_Frame_Learning_learner'],['Learning.learner<=Gain possession.recipient'],
Mapping_611,['Role_Frame_Speaking_topic'],['Role_Frame_Cognizing_topic'],['Cognizing.topic<=Speaking.topic'],
Mapping_337,['Role_Frame_Religious_practice_worshipper'],['Role_Frame_Gun_possession_gun_owner'],['Gun possession.gun_owner<=Religious practice.worshipper'],
Mapping_324,['Role_Frame_Shepherding_objective_s_'],['Role_Frame_Government_governor_objectives'],['Government.governor_objectives<=Shepherding.objective(s)'],
Mapping_482,['Role_Frame_Food_preparation_food_preparer'],['Role_Frame_Cognizing_thinker'],['Cognizing.thinker<=Food preparation.food_preparer'],
Mapping_164,['Role_Frame_Cognizing_bodily_functioning_x_schema'],['Role_Frame_Bodily_functioning_cognizing_x_schema'],['Bodily_functioning.cognizing_x-schema<=Cognizing.bodily_functioning_x-schema'],
Mapping_214,['Role_Frame_War_battlefield'],['Role_Frame_Disease_treatment_body'],['Disease treatment.body<=War.battlefield'],
Mapping_270,['Role_Frame_Possession_possess_relation_status'],['Role_Frame_Experiencing_a_state_experienced_state_value'],['Experiencing a state.experienced_state_value<=Possession.possess_relation_status'],
Mapping_439,['Role_Frame_Complex_physical_object_object_parts'],['Role_Frame_Nation_nation_traits'],['Nation.nation_traits<=Complex physical object.object_parts'],
Mapping_218,['Role_Frame_Machine_machine_entity'],['Role_Frame_Economy_economy_whole'],['Economy.economy_whole<=Machine.machine_entity'],
Mapping_566,['Role_Frame_Physical_affliction_patient'],['Role_Frame_Social_problems_society'],['Social problems.society<=Physical affliction.patient'],
Mapping_453,['Role_Frame_Experience_pain_experiencer'],['Role_Frame_Emotion_experiencer'],['Emotion.experiencer<=Experience pain.experiencer'],
Mapping_219,['Role_Frame_Machine_functional_status'],['Role_Frame_Economy_economic_efficiency'],['Economy.economic_efficiency<=Machine.functional_status'],
Mapping_545,['Role_Frame_Adoption_adoptee'],['Role_Frame_Selection_selection_option'],['Selection.selection_option<=Adoption.adoptee'],
Mapping_25,['Role_Frame_Motion_motion_x_schema'],['Role_Frame_Action_action_x_schema'],['Action.action_x-schema<=Motion.motion_x-schema'],
Mapping_567,['Role_Frame_Physical_affliction_affliction'],['Role_Frame_Social_problems_social_problem'],['Social problems.social_problem<=Physical affliction.affliction'],
Mapping_409,['Role_Frame_Journey_journey_companion'],['Role_Frame_Life_life_companion'],['Life.life_companion<=Journey.journey_companion'],
Mapping_496,['Role_Frame_Verticality_verticality_scale'],['Role_Frame_Quantity_quantity_scale'],['Quantity.quantity_scale<=Verticality.verticality_scale'],
Mapping_587,['Role_Frame_Burden_burden'],['Role_Frame_Taxation_tax'],['Taxation.tax<=Burden.burden'],
Mapping_588,['Role_Frame_Physical_harm_agent'],['Role_Frame_Taxation_taxer'],['Taxation.taxer<=Physical harm.agent'],
Mapping_517,['Role_Frame_Possessable_object_possessor'],['Role_Frame_Rights_rights_holder'],['Rights.rights_holder<=Possessable object.possessor'],
Mapping_156,['Role_Frame_Motion_along_a_path_source'],['Role_Frame_Change_of_state_initial_state'],['Change of state.initial_state<=Motion along a path.source'],
Mapping_575,['Role_Frame_Forced_motion_motion'],['Role_Frame_Speech_act_addressee_action'],['Speech act.addressee_action<=Forced motion.motion'],
Mapping_314,['Role_Frame_Leadership_leader_motion_x_schema'],['Role_Frame_Government_governing_actions'],['Government.governing_actions<=Leadership.leader_motion_x-schema'],
Mapping_506,['Role_Frame_Physical_structure_structure_whole'],['Role_Frame_Relationship_relationship'],['Relationship.relationship<=Physical structure.structure_whole'],
Mapping_579,['Role_Frame_Trajector_landmark_background'],['Role_Frame_State_state_type'],['State.state_type<=Trajector landmark.background'],
Mapping_27,['Role_Frame_Motion_along_a_path_course_of_motion'],['Role_Frame_Action_action_self'],['Action.action_self<=Motion_along_a_path.course_of_motion'],
Mapping_24,['Role_Frame_Motion_mover'],['Role_Frame_Action_actor'],['Action.actor<=Motion.mover'],
Mapping_186,['Role_Frame_Possession_possess_relation'],['Role_Frame_Control_control_relation'],['Control.control_relation<=Possession.possess_relation'],
Mapping_417,['Role_Frame_Person_health_of_person'],['Role_Frame_Machine_good_functioning_of_machine'],['Machine.good_functioning_of_machine<=Person.health_of_person'],
Mapping_174,['Role_Frame_Cause_to_see_Shower'],['Role_Frame_Communication_communicator'],['Communication.communicator<=Cause to see.Shower'],
Mapping_300,['Role_Frame_Biological_entity_health_status'],['Role_Frame_Government_institution_functional_status'],['Government institution.functional_status<=Biological entity.health_status'],
Mapping_570,['Role_Frame_Physical_connection_connector'],['Role_Frame_Social_group_member_relation'],['Social group.member_relation<=Physical connection.connector'],
Mapping_64,['Role_Frame_Size_entity'],['Role_Frame_State_state_holder'],['State.state_holder<=Size.entity'],
Mapping_21,['Role_Frame_Eating_digesting'],['Role_Frame_Thinking_about_considering'],['Thinking about.considering<=Eating.digesting'],
Mapping_123,['Role_Frame_Possession_possession_relation'],['Role_Frame_Belief_belief_relation'],['Belief.belief_relation<=Possession.possession_relation'],
Mapping_345,['Role_Frame_Verticality_vertical_physical_structure'],['Role_Frame_Organization_of_power_hierarchical_structure'],['Organization of power.hierarchical_structure<=Verticality.vertical_physical_structure'],
Mapping_226,['Role_Frame_Competitive_sport_prize'],['Role_Frame_Election_office'],['Election.office<=Competitive sport.prize'],
Mapping_301,['Role_Frame_Biological_entity_part_function'],['Role_Frame_Government_institution_position_duties'],['Government institution.position_duties<=Biological entity.part_function'],
Mapping_433,['Role_Frame_Building_building_whole'],['Role_Frame_Nation_nation_whole'],['Nation.nation_whole<=Building.building_whole'],
Mapping_328,['Role_Frame_Part_whole_whole'],['Role_Frame_Group_group'],['Group.group<=Part_whole.whole'],
Mapping_462,['Role_Frame_Physical_structure_Physical_structure_x_schema'],['Role_Frame_Organization_Organization_x_schema'],['Organization.Organization_x-schema<=Physical structure.Physical_structure_x-schema'],
Mapping_640,['Role_Frame_Containing_contents'],['Role_Frame_Part_whole_parts'],['Part whole.parts<=Containing.contents'],
Mapping_631,['Role_Frame_Motion_along_a_path_course_of_motion'],['Role_Frame_Virtual_motion_pathway_scanned'],['Virtual motion.pathway_scanned<=Motion along a path.course_of_motion'],
Mapping_46,['Role_Frame_Treating_a_physical_affliction_treatment_provider'],['Role_Frame_Addressing_social_problems_problem_solvers'],['Addressing social problems.problem_solvers<=Treating a physical affliction.treatment_provider'],
Mapping_436,['Role_Frame_Building_building_framework'],['Role_Frame_Nation_nation_infrastructure'],['Nation.nation_infrastructure<=Building.building_framework'],
Mapping_355,['Role_Frame_Size_scalar_position'],['Role_Frame_Importance_degree_of_importance'],['Importance.degree_of_importance<=Size.scalar_position'],
Mapping_419,['Role_Frame_Bodily_functioning_body_structure'],['Role_Frame_Cognizing_mind_structure'],['Cognizing.mind_structure<=Bodily functioning.body_structure'],
Mapping_460,['Role_Frame_Machine_procedures_for_operation'],['Role_Frame_Organization_organization_procedures'],['Organization.organization_procedures<=Machine.procedures_for_operation'],
Mapping_98,['Role_Frame_Object_collection_removing_collection'],['Role_Frame_Arithmetic_subtraction'],['Arithmetic.subtraction<=Object collection.removing_collection'],['Taking a smaller collection from a larger collection is subtraction']
Mapping_547,['Role_Frame_Self_propelled_motion_to_a_destination_self_motion_x_schema'],['Role_Frame_Self_initiated_state_change_self_initiated_change_x_schema'],['Self-initiated state change.self-initiated_change_x-schema<=Self propelled motion to a destination.self-motion_x-schema'],
Mapping_115,['Role_Frame_Upright_posture_upright_person'],['Role_Frame_Moral_goodness_good_person'],['Moral goodness.good_person<=Upright posture.upright_person'],
Mapping_420,['Role_Frame_Bodily_functioning_bodily_capacity'],['Role_Frame_Cognizing_mental_capacticy'],['Cognizing.mental_capacticy<=Bodily functioning.bodily_capacity'],
Mapping_446,['Role_Frame_Machine_functional_status'],['Role_Frame_Nation_state_of_nation'],['Nation.state_of_nation<=Machine.functional_status'],
Mapping_118,['Role_Frame_Being_at_a_Low_Location_located_thing'],['Role_Frame_Impoverished_experiencer'],['Impoverished.experiencer<=Being at a Low Location.located_thing'],
Mapping_162,['Role_Frame_Physical_structure_structure_whole'],['Role_Frame_Rights_right'],['Rights.right<=Physical structure.structure_whole'],
Mapping_620,['Role_Frame_Building_building_integrity'],['Role_Frame_Trust_relationship_relationship_intensity'],['Trust relationship.relationship_intensity<=Building.building_integrity'],
Mapping_10,['Role_Frame_Gain_possession_getting_x_schema'],['Role_Frame_Purposeful_action_action_x_schema'],['Purposeful action.action_x-schema<=Gain possession.getting_x-schema'],['action.x-schema.final = achivening purpose; getting_x-schema.final = gaining possession']
Mapping_197,['Role_Frame_Erosion_eroding_process'],['Role_Frame_Corruption_corrupt_activities'],['Corruption.corrupt_activities<=Erosion.eroding_process'],"['x-schema: progressive, slow, ongoing']"
Mapping_518,['Role_Frame_Possessable_object_possession'],['Role_Frame_Rights_right'],['Rights.right<=Possessable object.possession'],
Mapping_530,['Role_Frame_Source_path_goal_source'],['Role_Frame_Scale_minimal_value'],['Scale.minimal value<=Source path goal.source'],
Mapping_512,['Role_Frame_Physical_structure_structural_integrity'],['Role_Frame_Relationship_relationship_intensity'],['Relationship.relationship_intensity<=Physical structure.structural_integrity'],
Mapping_492,['Role_Frame_Size_entity'],['Role_Frame_Quantity_entity'],['Quantity.entity<=Size.entity'],
Mapping_546,['Role_Frame_Self_propelled_motion_to_a_destination_self_mover'],['Role_Frame_Self_initiated_state_change_experiencer'],['Self-initiated state change.experiencer<=Self propelled motion to a destination.self-mover'],
Mapping_149,['Role_Frame_Transfer_scenario_recipient'],['Role_Frame_Control_controlling_entity'],['Control.controlling_entity<=Transfer scenario.recipient'],['at final stage']
Mapping_224,['Role_Frame_Competitive_sport_competitor1'],['Role_Frame_Election_candidate1'],['Election.candidate1<=Competitive sport.competitor1'],
Mapping_582,['Role_Frame_Bounded_region_interior'],['Role_Frame_Nation_state_of_nation'],['Nation.state_of_nation<=Bounded region.interior'],
Mapping_323,['Role_Frame_Shepherding_sheep'],['Role_Frame_Government_governed'],['Government.governed<=Shepherding.sheep'],
Mapping_376,['Role_Frame_Perception_faculty'],['Role_Frame_Knowing_mind'],['Knowing.mind<=Perception.faculty'],
Mapping_205,['Role_Frame_Hunger_hunger'],['Role_Frame_Desire_desire'],['Desire.desire<=Hunger.hunger'],
Mapping_410,['Role_Frame_Journey_vehicles_in_journey'],['Role_Frame_Life_relationships_in_life'],['Life.relationships_in_life<=Journey.vehicles_in_journey'],
Mapping_503,['Role_Frame_Containing_container'],['Role_Frame_Relationship_relationship'],['Relationship.relationship<=Containing.container'],
Mapping_527,['Role_Frame_Journey_vehicle'],['Role_Frame_Romantic_relationship_relationship'],['Romantic relationship.relationship<=Journey.vehicle'],
Mapping_182,['Role_Frame_Bounded_region_proximal_region'],['Role_Frame_Control_scope_of_control'],['Control.scope_of_control<=Bounded region.proximal region'],
Mapping_246,['Role_Frame_Forced_motion_agent'],['Role_Frame_Legislation_enactment_legislators'],['Legislation enactment.legislators<=Forced motion.agent'],
Mapping_52,['Role_Frame_War_army'],['Role_Frame_Addressing_social_problems_public_officials'],['Addressing social problems.public_officials<=War.army'],
Mapping_483,['Role_Frame_Cause_to_see_perception_causer'],['Role_Frame_Reasoning_reasoner'],['Reasoning.reasoner<=Cause to see.perception_causer'],
Mapping_239,['Role_Frame_War_War_side2'],['Role_Frame_Election_candidate2'],['Election.candidate2<=War.War.side2'],
Mapping_535,['Role_Frame_Touching_touch_bodypart'],['Role_Frame_Seeing_eyes'],['Seeing.eyes<=Touching.touch_bodypart'],
Mapping_189,['Role_Frame_Object_manipulation_object'],['Role_Frame_Control_dependent_entity'],['Control.dependent_entity<=Object manipulation.object'],
Mapping_91,['Role_Frame_Heating_fluid_container_heat'],['Role_Frame_Anger_body_heat'],['Anger.body_heat<=Heating_fluid.container_heat'],
Mapping_557,['Role_Frame_Family_family_whole'],['Role_Frame_Social_group_social_group_whole'],['Social group.social_group_whole<=Family.family_whole'],
Mapping_74,['Role_Frame_Fire_burning_object_condition'],['Role_Frame_Anger_mind_condition'],['Anger.mind_condition<=Fire.burning_object_condition'],
Mapping_349,['Role_Frame_Food_food'],['Role_Frame_Idea_idea_self'],['Idea.idea_self<=Food.food'],
Mapping_145,['Role_Frame_Harm_to_living_entity_victim'],['Role_Frame_Economic_difficulty_actor'],['Economic difficulty.actor<=Harm to living entity.victim'],
Mapping_93,['Role_Frame_Object_collection_collection_size'],['Role_Frame_Arithmetic_number_size'],['Arithmetic.number_size<=Object collection.collection_size'],
Mapping_283,['Role_Frame_Motion_along_a_path_goal'],['Role_Frame_Governing_action_governing_objectives'],['Governing action.governing_objectives<=Motion along a path.goal'],
Mapping_108,['Role_Frame_Object_construction_taking_apart'],['Role_Frame_Arithmetic_subtraction'],['Arithmetic.subtraction<=Object construction.taking_apart'],
Mapping_485,['Role_Frame_Self_propelled_motion_to_a_destination_goal'],['Role_Frame_Purposeful_action_objective'],['Purposeful action.objective<=Self propelled motion to a destination.goal'],"['I.e. PURPSOSES ARE DESIRED LOCATIONS: goal has binding to objective in Source domain frame, and objective is bound to Desire.desired_situation']"
Mapping_9,['Role_Frame_Gain_possession_recipient'],['Role_Frame_Purposeful_action_actor'],['Purposeful action.actor<=Gain possession.recipient'],
Mapping_116,['Role_Frame_Upright_posture_upright_position'],['Role_Frame_Moral_goodness_goodness'],['Moral goodness.goodness<=Upright posture.upright_position'],
Mapping_18,['Role_Frame_Upward_motion_mover'],['Role_Frame_Power_Power_holder'],['Power.Power_holder<=Upward motion.mover'],
Mapping_421,['Role_Frame_Liquid_liquid'],['Role_Frame_Money_money'],['Money.money<=Liquid.liquid'],
Mapping_520,['Role_Frame_Territory_owner'],['Role_Frame_Rights_rights_holder'],['Rights.rights_holder<=Territory.owner'],
Mapping_212,['Role_Frame_War_army'],['Role_Frame_Disease_treatment_medical_professionals'],['Disease treatment.medical_professionals<=War.army'],
Mapping_284,['Role_Frame_Verticality_vertical_entity'],['Role_Frame_Government_institution_government_whole'],['Government institution.government_whole<=Verticality.vertical_entity'],
Mapping_528,['Role_Frame_Journey_path_of_journey'],['Role_Frame_Romantic_relationship_course_of_relationship'],['Romantic relationship.course_of_relationship<=Journey.path_of_journey'],
Mapping_591,['Role_Frame_Punishment_punisher'],['Role_Frame_Taxation_taxer'],['Taxation.taxer<=Punishment.punisher'],
Mapping_196,['Role_Frame_Decay_decaying_effect'],['Role_Frame_Corruption_corrupting_effect'],['Corruption.corrupting_effect<=Decay.decaying_effect'],
Mapping_32,['Role_Frame_Animal_animal'],['Role_Frame_Crime_criminal'],['Crime.criminal<=Animal.animal'],
Mapping_165,['Role_Frame_Eating_eater'],['Role_Frame_Cognizing_cognizer'],['Cognizing.cognizer<=Eating.eater'],
Mapping_594,['Role_Frame_Servitude_subjugator'],['Role_Frame_Taxation_taxer'],['Taxation.taxer<=Servitude.subjugator'],
Mapping_605,['Role_Frame_Lose_possession_lose_possession_x_schema_finish'],['Role_Frame_Control_control_relation_status_finish'],['Control.control_relation_status.finish<=Lose possession.lose_possession_x-schema.finish'],
Mapping_641,['Role_Frame_Possession_possessor'],['Role_Frame_Part_whole_whole'],['Part whole.whole<=Possession.possessor'],
Mapping_565,['Role_Frame_Disease_doctor'],['Role_Frame_Social_problems_authority'],['Social problems.authority<=Disease.doctor'],
Mapping_298,['Role_Frame_Biological_entity_organism'],['Role_Frame_Government_institution_government_whole'],['Government institution.government_whole<=Biological entity.organism'],
Mapping_525,['Role_Frame_Journey_journeyer'],['Role_Frame_Romantic_relationship_relationship_participant'],['Romantic relationship.relationship_participant<=Journey.journeyer'],
Mapping_456,['Role_Frame_Machine_purpose_of_machine'],['Role_Frame_Organization_ogranization_mission'],['Organization.ogranization_mission<=Machine.purpose_of_machine'],
Mapping_266,['Role_Frame_Being_at_a_location_locale'],['Role_Frame_Experiencing_a_state_state'],['Experiencing a state.state<=Being at a location.locale'],
Mapping_552,['Role_Frame_Textile_textile_whole'],['Role_Frame_Social_group_social_group_whole'],['Social group.social_group_whole<=Textile.textile_whole'],
Mapping_352,['Role_Frame_Possession_possessor'],['Role_Frame_Idea_idea_cognizer'],['Idea.idea_cognizer<=Possession.possessor'],
Mapping_260,['Role_Frame_Being_at_a_location_Being_at_a_location_current_location'],['Role_Frame_Experiencing_an_economic_status_status'],['Experiencing an economic status.status<=Being at a location.Being at a location.current_location'],
