name,hasName,hasRoleType,label,correspondsToFrameElement,hasDefinition
Role_Frame_Trust_relationship_change_in_relationship_intensity,['change_in_relationship_intensity'],,['Trust relationship.change_in_relationship_intensity'],,
Role_Frame_Change_of_state_experiencer,['experiencer'],,['Change of state.experiencer'],['Entity'],
Role_Frame_Motion_along_a_path_speed,['speed'],,['Motion along a path.speed'],,
Role_Frame_Physical_affliction_symptoms,['symptoms'],,['Physical_affliction.symptoms'],,
Role_Frame_Punishment_type_of_punishment,['type_of_punishment'],,['Punishment.type_of_punishment'],,
Role_Frame_Pest_pest,['pest'],,['Pest.pest'],,
Role_Frame_Economy_activity_level,['activity_level'],['scale'],['Economy.activity_level'],,
Role_Frame_Argument_arguers,['arguers'],,['Argument.arguers'],,
Role_Frame_Scale_ordered_value_relations,['ordered_value_relations'],,['Scale.ordered_value_relations'],,['the values are ordered in relation to one another']
Role_Frame_Size_entity,['entity'],['Object'],['Size.entity'],['Entity'],['the entity whose size is being specified']
Role_Frame_Government_constraints_on_governing_actions,['constraints_on_governing_actions'],,['Government.constraints_on_governing_actions'],,"['e.g. Constitution', 'laws']"
Role_Frame_Visual_obstruction_vision,['vision'],,['Visual obstruction.vision'],,
Role_Frame_Importance_importance_scale,['importance_scale'],['scale'],['Importance.importance_scale'],,
Role_Frame_Physical_structure_parts_relations,['parts_relations'],,['Physical structure.parts_relations'],,
Role_Frame_Journey_locations_along_journey,['locations_along_journey'],,['Journey.locations_along_journey'],,
Role_Frame_Caring_cared_target_feelings,['cared_target_feelings'],,['Caring.cared_target_feelings'],,['the feelings the cared_target feels as a result of being cared for']
Role_Frame_Self_propelled_motion_source,['source'],,['Self propelled motion.source'],,"[""mover's intitial location""]"
Role_Frame_Bodily_functioning_body,['body'],,['Bodily functioning.body'],,
Role_Frame_Governing_action_affect_rate_of_change,['affect_rate_of_change'],,['Governing action.affect_rate_of_change'],,
Role_Frame_Time_present_time,['present_time'],,['Time.present_time'],,
Role_Frame_War_victory,['victory'],['x-schema state'],['War.victory'],,
Role_Frame_Social_problems_immoral_citizen,['immoral_citizen'],,['Social problems.immoral_citizen'],,
Role_Frame_Heating_fluid_container_top,['container_top'],,['Heating fluid.container_top'],,['the portal at the top of the container which is typically lidded']
Role_Frame_Economic_difficulty_objective,['objective'],,['Economic difficulty.objective'],,['economic objectives of actor']
Role_Frame_Forced_motion_motion,['motion'],,['Forced motion.motion'],,
Role_Frame_Physical_combat_physical_interaction_x_schema,['physical interaction x-schema'],,['Physical combat.physical interaction x-schema'],,
Role_Frame_Eating_recipient,['recipient'],,['Eating.recipient'],,
Role_Frame_Power_Power_yielder,['Power_yielder'],,['Power.Power_yielder'],,
Role_Frame_Upright_posture_upright_entity,['upright_entity'],,['Upright posture.upright_entity'],,
Role_Frame_Disease_health_state,['health_state'],,['Disease.health_state'],,"[""patient's (diseased) state of health""]"
Role_Frame_Poverty_impoverishment,['impoverishment'],,['Poverty.impoverishment'],,
Role_Frame_Romantic_relationship_romantic_relationship_participants,['romantic_relationship_participants'],,['Romantic relationship.romantic_relationship_participants'],,
Role_Frame_Building_building_parts,['building_parts'],['Component of building'],['Building.building_parts'],,"['e.g. facade', 'Non-room building elements']"
Role_Frame_Group_sub_group,['sub-group'],,['Group.sub-group'],,
Role_Frame_Building_subparts_place,['place'],,['Building subparts.place'],['place'],"['the location of the room within the building', 'e.g the second floor']"
Role_Frame_International_Relations_International_relations_international_relationship,['International_relations.international_relationship'],,['International Relations.International_relations.international_relationship'],,
Role_Frame_Control_force_receiver,['force_receiver'],,['Control.force_receiver'],,
Role_Frame_Biological_entity_parts,['parts'],,['Biological entity.parts'],,
Role_Frame_Restraints_restraining_entity,['restraining_entity'],,['Restraints.restraining_entity'],,
Role_Frame_Hosting_guest,['guest'],,['Hosting.guest'],,
Role_Frame_Competition_competition_competitor2,['competition_competitor2'],,['Competition.competition_competitor2'],,
Role_Frame_Force_transfer_force_originator,['force_originator'],['Entity'],['Force transfer.force_originator'],,
Role_Frame_Legislation_enactment_legislation_proposal,['legislation_proposal'],,['Legislation enactment.legislation_proposal'],,['introduction of proposed legislation']
Role_Frame_Deity_deity,['deity'],,['Deity.deity'],,
Role_Frame_Organization_head_of_organization,['head_of_organization'],,['Organization.head_of_organization'],,
Role_Frame_Physical_structure_Physical_structure,['Physical_structure'],,['Physical structure.Physical_structure'],,
Role_Frame_Taxation_tax_payment,['tax_payment'],,['Taxation.tax_payment'],,['tax_payer pays money to taxer']
Role_Frame_Difficulty_objective,['objective'],,['Difficulty.objective'],,
Role_Frame_Treating_a_physical_affliction_cure,['cure'],,['Treating a physical affliction.cure'],,
Role_Frame_Government_institution_sub_groups,['sub-groups'],,['Government institution.sub-groups'],,['e.g. different departments']
Role_Frame_Learning_benefits_of_learning,['benefits_of_learning'],,['Learning.benefits_of_learning'],,
Role_Frame_Possessable_object_possession,['possession'],,['Possessable object.possession'],,
Role_Frame_Complex_physical_object_size,['size'],,['Complex physical object.size'],,
Role_Frame_Machine_machine_entity,['machine_entity'],,['Machine.machine_entity'],,
Role_Frame_Government_governing_power,['governing_power'],,['Government.governing_power'],,
Role_Frame_Process_start_process_start,['process_start'],,['Process start.process_start'],,
Role_Frame_Object_collection_smallest_collection,['smallest_collection'],,['Object collection.smallest_collection'],,
Role_Frame_Factory_factory_workers,['factory_workers'],,['Factory.factory_workers'],,
Role_Frame_Upward_motion_speed,['speed'],,['Upward motion.speed'],,
Role_Frame_Verticality_supine_entity,['supine_entity'],,['Verticality.supine_entity'],,
Role_Frame_Confinement_bounds_of_confinement,['bounds_of_confinement'],,['Confinement.bounds_of_confinement'],,
Role_Frame_Government_legitimacy_trustworthiness,['trustworthiness'],,['Government legitimacy.trustworthiness'],,
Role_Frame_Government_govening_actions,['govening_actions'],,['Government.govening_actions'],,
Role_Frame_Machine_operating_x_schema,['operating_x-schema'],,['Machine.operating_x-schema'],,"[""e.g. machine is 'running'""]"
Role_Frame_Light_reflection_light,['light'],,['Light reflection.light'],,
Role_Frame_Burden_relation_burden_to_burdened,['relation_burden_to_burdened'],['force-dynamic x-schema'],['Burden.relation_burden_to_burdened'],,['burdened_entity supports burden']
Role_Frame_Object_shape,['shape'],,['Object.shape'],,
Role_Frame_Social_group_defining_properties,['defining_properties'],,['Social group.defining_properties'],,
Role_Frame_Disease_treatment_medical_tools_and_medicine,['medical_tools_and_medicine'],,['Disease treatment.medical_tools_and_medicine'],,
Role_Frame_Romantic_relationship_romantic_relationship_participant,['romantic_relationship_participant'],,['Romantic relationship.romantic_relationship_participant'],,
Role_Frame_Object_construction_smallest_object,['smallest_object'],,['Object construction.smallest_object'],,
Role_Frame_Judicial_action_non_normative_judicial_actions,['non-normative_judicial_actions'],,['Judicial action.non-normative_judicial_actions'],,
Role_Frame_Animal_life_cycle_animal_life_cycle_beginning_stage,['animal_life_cycle_beginning_stage'],,['Animal life cycle.animal_life_cycle_beginning_stage'],,"[""e.g. 'hatch'""]"
Role_Frame_Fire_burning_object,['burning_object'],,['Fire.burning_object'],,['thing on fire']
Role_Frame_Killing_killed_being,['killed_being'],,['Killing.killed_being'],,
Role_Frame_Motion_to_avoid_a_destination_self_mover,['self-mover'],,['Motion to avoid a destination.self-mover'],,
Role_Frame_Criticizing_reason_for_criticism,['reason_for_criticism'],,['Criticizing.reason_for_criticism'],,
Role_Frame_Vehicular_motion_direction,['direction'],,['Vehicular motion.direction'],,"[""vehicle's direction""]"
Role_Frame_Communication_language,['language'],,['Communication.language'],,
Role_Frame_Purity_pure_substance,['pure_substance'],,['Purity.pure_substance'],,
Role_Frame_Physical_structure_structure_creator,['structure_creator'],,['Physical structure.structure_creator'],,
Role_Frame_Health_sick_entity,['sick_entity'],,['Health.sick_entity'],,
Role_Frame_Gun_use_gun_user,['gun_user'],,['Gun use.gun_user'],,
Role_Frame_Health_degree_of_health,['degree_of_health'],,['Health.degree_of_health'],,
Role_Frame_Containing_fullness_degree,['fullness_degree'],,['Containing.fullness_degree'],,['extent to which contents fill container to capacity']
Role_Frame_Complex_structure_part_relations,['part_relations'],,['Complex structure.part_relations'],,
Role_Frame_Seeing_vision_x_schema,['vision_x-schema'],,['Seeing.vision_x-schema'],,['the process of seeing something']
Role_Frame_Game_game_player2,['game player2'],,['Game.game player2'],,
Role_Frame_Source_path_goal_trajector,['trajector'],,['Source path goal.trajector'],['Trajector'],['from Trajector landmark']
Role_Frame_Speaking_speaker,['speaker'],['Person'],['Speaking.speaker'],['Speaker'],
Role_Frame_Democratic_government_democratic_governor,['democratic_governor'],,['Democratic government.democratic_governor'],,
Role_Frame_Corporation_corporation_position_holders,['corporation_position_holders'],,['Corporation.corporation_position_holders'],,
Role_Frame_Building_building_whole,['building_whole'],,['Building.building_whole'],,
Role_Frame_Heat_heat_x_schema,['heat_x-schema'],,['Heat.heat_x-schema'],,
Role_Frame_Nurturant_parent_family_parent_s_,['parent(s)'],,['Nurturant parent family.parent(s)'],,
Role_Frame_Transfer_scenario_transferor_process,['transferor_process'],['Lose_possession'],['Transfer scenario.transferor_process'],,['giving']
Role_Frame_Government_institution_rules,['rules'],,['Government institution.rules'],,
Role_Frame_Experiencing_a_negative_state_state_x_schema,['state_x-schema'],,['Experiencing a negative state.state_x-schema'],,['how state value changes (or not) over time']
Role_Frame_Learning_learned_knoweledge,['learned_knoweledge'],,['Learning.learned_knoweledge'],,
Role_Frame_Institution_position_holders,['position_holders'],,['Institution.position_holders'],,['people who fill internal roles']
Role_Frame_Competition_competition_start,['competition_start'],,['Competition.competition_start'],,
Role_Frame_Object_collection_object_collections,['object_collections'],,['Object collection.object_collections'],,
Role_Frame_Physical_competition_x_schema,['x-schema'],,['Physical competition.x-schema'],,
Role_Frame_Citizen_evaluation_of_government_Behavior,['Behavior'],,['Citizen evaluation of government.Behavior'],,
Role_Frame_Taxation_regulation,['regulation'],,['Taxation.regulation'],,['tax laws']
Role_Frame_Impediment_to_motion_affected_motion,['affected_motion'],,['Impediment to motion.affected_motion'],,
Role_Frame_Physical_structure_structure_location,['structure_location'],,['Physical structure.structure_location'],,
Role_Frame_Eating_digesting,['digesting'],,['Eating.digesting'],,
Role_Frame_Being_at_a_location_Being_at_a_location_x_schema,['Being at a location.x-schema'],,['Being at a location.Being at a location.x-schema'],,
Role_Frame_Trust_relationship_non_normative_action,['non-normative_action'],['action'],['Trust relationship.non-normative_action'],,"['action deviates from standards', 'trusted entity is actor']"
Role_Frame_Killing_killer,['killer'],,['Killing.killer'],,
Role_Frame_Animal_life_cycle_animal_life_cycle_beginning_state,['animal_life_cycle_beginning_state'],,['Animal life cycle.animal_life_cycle_beginning_state'],,"[""e.g. 'pup' 'calf'""]"
Role_Frame_Game_game_event,['game_event'],,['Game.game_event'],,
Role_Frame_Purposeful_action_action_x_schema_kind,['action_x-schema_kind'],,['Purposeful action.action_x-schema_kind'],,
Role_Frame_Arithmetic_numbers,['numbers'],,['Arithmetic.numbers'],,
Role_Frame_Force_dynamic_interaction_forceful_process,['forceful_process'],,['Force-dynamic interaction.forceful_process'],,['a process (x-schema) in which force associated with one entity is transferred to another entity']
Role_Frame_Motion_to_a_location_mover,['mover'],['entity'],['Motion to a location.mover'],,
Role_Frame_Eating_possession,['possession'],,['Eating.possession'],,
Role_Frame_Personal_weapon_weapon,['weapon'],,['Personal weapon.weapon'],,
Role_Frame_Animate_entity_body_weight,['body_weight'],,['Animate entity.body_weight'],,
Role_Frame_Physical_harm_harmful_effect_result,['harmful_effect_result'],,['Physical harm.harmful_effect_result'],,['consequence of physical harm']
Role_Frame_Cognizing_body,['body'],,['Cognizing.body'],,
Role_Frame_Life_cycle_beginning_of_life,['beginning_of_life'],,['Life cycle.beginning_of_life'],,['start of life cycle']
Role_Frame_Career_career_follower,['career_follower'],,['Career.career_follower'],,
Role_Frame_Motion_away_from_a_bounded_region_mover,['mover'],,['Motion away from a bounded region.mover'],,
Role_Frame_Being_stable_x_schema,['x-schema'],,['Being stable.x-schema'],,
Role_Frame_Laundering_launder_agent,['launder_agent'],['Person'],['Laundering.launder_agent'],,['person who cleans the laundry']
Role_Frame_Knowing_sought_knowledge,['sought_knowledge'],,['Knowing.sought_knowledge'],,
Role_Frame_Recreational_competition_prize,['prize'],,['Recreational competition.prize'],,
Role_Frame_Discovery_discovered_thng,['discovered thng'],,['Discovery.discovered thng'],['Phenomenon'],['can be object or place']
Role_Frame_Judicial_decision_making_judicial_outcome,['judicial_outcome'],,['Judicial decision-making.judicial_outcome'],,
Role_Frame_Perception_faculty,['faculty'],,['Perception.faculty'],['Body_part'],['body part used to perceive the perceived_thing']
Role_Frame_Upward_motion_mover,['mover'],,['Upward motion.mover'],,
Role_Frame_Body_weight_body,['body'],,['Body weight.body'],,
Role_Frame_Lose_possession_possession,['possession'],,['Lose possession.possession'],['Theme'],
Role_Frame_Decay_decayed_entity,['decayed_entity'],,['Decay.decayed_entity'],,
Role_Frame_Nurturance_nurturer,['nurturer'],,['Nurturance.nurturer'],,
Role_Frame_Plant_life_cycle_plant_sprouting_state,['plant_sprouting_state'],,['Plant life cycle.plant_sprouting_state'],,
Role_Frame_Heating_fluid_fluid_heat_level,['fluid_heat_level'],['Heat'],['Heating fluid.fluid_heat_level'],,['the temperature of the heated fluid']
Role_Frame_Knowing_knowledge_capacity,['knowledge_capacity'],,['Knowing.knowledge_capacity'],,"[""the knower's ability to acquire and retain knowledge""]"
Role_Frame_Theft_thief,['thief'],,['Theft.thief'],['Perpetrator'],
Role_Frame_Silencing_agent_action,['agent_action'],['x-schema'],['Silencing.agent_action'],,
Role_Frame_Transfer_scenario_transfer_recipient_process,['transfer_recipient_process'],['Gain_possession'],['Transfer scenario.transfer_recipient_process'],,['getting']
Role_Frame_Speech_act_speaker,['speaker'],,['Speech act.speaker'],,
Role_Frame_Authority_source_of_authority,['source_of_authority'],,['Authority.source_of_authority'],,"[""e.g. authority_entity's competence or knowledge""]"
Role_Frame_Legislative_action_legislative_objective,['legislative_objective'],,['Legislative action.legislative_objective'],,
Role_Frame_Backward_motion_motion_x_schema,['motion_x-schema'],,['Backward motion.motion_x-schema'],,
Role_Frame_Dissect_dissection_tool,['dissection_tool'],,['Dissect.dissection_tool'],,
Role_Frame_Legality_action,['action'],,['Legality.action'],,
Role_Frame_Crafting_artifact,['artifact'],,['Crafting.artifact'],,
Role_Frame_Restaurant_patron,['patron'],,['Restaurant.patron'],,
Role_Frame_Bounded_entity_entity_boundary,['entity_boundary'],,['Bounded entity.entity_boundary'],,
Role_Frame_Voting_proposed_decision_initial_status,['proposed_decision_initial_status'],,['Voting.proposed_decision_initial_status'],,['under consideration for approval']
Role_Frame_Functional_functionality_beneficiary,['functionality_beneficiary'],,['Functional.functionality_beneficiary'],,
Role_Frame_Resource_consumption_resulting_state_of_over_consumption,['resulting_state_of_over-consumption'],,['Resource consumption.resulting_state_of_over-consumption'],,
Role_Frame_Textile_textile_whole,['textile_whole'],,['Textile.textile_whole'],,
Role_Frame_Government_decision_making_introduction_of_entity_under_consideration,['introduction_of_entity_under_consideration'],,['Government decision making.introduction_of_entity_under_consideration'],,['eg proposing a bill']
Role_Frame_Being_at_a_location_experiencer,['experiencer'],['entity'],['Being at a location.experiencer'],['theme'],['entity at a location']
Role_Frame_Object_object_interior,['object_interior'],,['Object.object_interior'],,
Role_Frame_Time_duration_of_time,['duration_of_time'],,['Time.duration_of_time'],,
Role_Frame_Decay_decay_consequence,['decay_consequence'],,['Decay.decay_consequence'],,
Role_Frame_Action_acting_entity,['acting_entity'],,['Action.acting_entity'],,
Role_Frame_Motion_along_a_path_motion_x_schema,['motion_x-schema'],['Process'],['Motion along a path.motion_x-schema'],,
Role_Frame_Emotion_emotion_limit,['emotion_limit'],,['Emotion.emotion_limit'],,
Role_Frame_Control_degree_of_control,['degree_of_control'],,['Control.degree_of_control'],,['the extent to which the controlling_entity has control over the dependent_variable']
Role_Frame_Virtual_motion_ending_locus_of_attention,['ending_locus_of_attention'],,['Virtual motion.ending_locus_of_attention'],,
Role_Frame_Process_process_resume,['process_resume'],,['Process.process_resume'],,
Role_Frame_Death_Biological_entity,['Biological entity'],,['Death.Biological entity'],,
Role_Frame_Quantity_entity_amount,['entity_amount'],['entity property'],['Quantity.entity_amount'],,['the amount of a given instance of this type of entity']
Role_Frame_Restore_to_life_Biological_entity,['Biological entity'],,['Restore to life.Biological entity'],,
Role_Frame_Selection_options,['options'],,['Selection.options'],,
Role_Frame_Being_in_a_bounded_region_landmark,['landmark'],,['Being in a bounded region.landmark'],,
Role_Frame_Virtual_motion_pathway_scanned,['pathway_scanned'],,['Virtual motion.pathway_scanned'],,
Role_Frame_Action_effort,['effort'],,['Action.effort'],,['the amount of effort the actor expends to perform the action']
Role_Frame_Visual_evaluation_expected_visible_properties,['expected visible properties'],,['Visual evaluation.expected visible properties'],,['standard by which object is evaluated']
Role_Frame_Government_decision_making_entity_under_consideration_ongoing_state,['entity_under_consideration_ongoing_state'],,['Government decision making.entity_under_consideration_ongoing_state'],,
Role_Frame_Crafting_crafter,['crafter'],,['Crafting.crafter'],,
Role_Frame_Computer_computer_parts,['computer_parts'],,['Computer.computer_parts'],,
Role_Frame_Government_decision_making_consideration,['consideration'],,['Government decision making.consideration'],,
Role_Frame_Experience_pain_pain,['pain'],,['Experience pain.pain'],,
Role_Frame_Cancer_Cancer,['Cancer'],,['Cancer.Cancer'],,
Role_Frame_Erosion_erosion_process,['erosion_process'],['x-schema'],['Erosion.erosion_process'],,"['progressive', 'slow', 'ongoing process']"
Role_Frame_Emotion_Experiencer,['Experiencer'],,['Emotion.Experiencer'],,
Role_Frame_Forming_words_thoughts,['thoughts'],,['Forming words.thoughts'],,
Role_Frame_Time_future_time,['future_time'],,['Time.future_time'],,
Role_Frame_Process_process_start,['process_start'],,['Process.process_start'],,
Role_Frame_Taste_tasting_x_schema,['tasting_x-schema'],,['Taste.tasting_x-schema'],,
Role_Frame_Process_protagonist,['protagonist'],['entity'],['Process.protagonist'],,"['or doing the process', 'experiencing', 'the entity undergoing']"
Role_Frame_Work_scenario_affected_entity,['affected_entity'],,['Work scenario.affected_entity'],,
Role_Frame_Caused_change_of_state_affected,['affected'],,['Caused change of state.affected'],['Entity'],['experiencer of state']
Role_Frame_Visual_obstruction_unobstructed_elements_of_focal_object,['unobstructed_elements_of_focal_object'],,['Visual obstruction.unobstructed_elements_of_focal_object'],,
Role_Frame_Access_barrier_to_access,['barrier_to_access'],,['Access.barrier_to_access'],,
Role_Frame_Downward_motion_mover_position,['mover_position'],,['Downward motion.mover_position'],,
Role_Frame_Disease_person,['person'],,['Disease.person'],,
Role_Frame_Robot_robot_entity,['robot_entity'],,['Robot.robot_entity'],,
Role_Frame_Argument_argument_content,['argument_content'],,['Argument.argument_content'],,
Role_Frame_Experiencing_an_economic_status_status_holder,['status holder'],['person'],['Experiencing an economic status.status holder'],,
Role_Frame_Control_control,['control'],,['Control.control'],,
Role_Frame_Transfer_scenario_transferor,['transferor'],,['Transfer scenario.transferor'],['Donor'],
Role_Frame_Evil_evil_entity,['evil_entity'],,['Evil.evil_entity'],,
Role_Frame_Building_building_foundation,['building_foundation'],,['Building.building_foundation'],,
Role_Frame_Gun_rights_rights_domain,['rights_domain'],,['Gun rights.rights_domain'],,
Role_Frame_Negatively_evaluated_condition_evaluator,['evaluator'],,['Negatively evaluated condition.evaluator'],,['the person making the evaluation']
Role_Frame_Journey_vehicles_in_journey,['vehicles_in_journey'],,['Journey.vehicles_in_journey'],,
Role_Frame_State_state_holder,['state_holder'],,['State.state_holder'],,['an entity with which the state or property is asociated']
Role_Frame_Laundering_laundry,['laundry'],,['Laundering.laundry'],,['clothes or other fabrics that are being cleaned']
Role_Frame_Firmness_firmness_status,['firmness_status'],,['Firmness.firmness_status'],,['position on firmness scale']
Role_Frame_Consume_consume_x_schema,['consume_x-schema'],,['Consume.consume_x-schema'],,
Role_Frame_Heating_fluid_fluid_boiling_point,['fluid_boiling_point'],,['Heating fluid.fluid_boiling_point'],,
Role_Frame_Infectious_disease_infected_individuals,['infected_individuals'],,['Infectious disease.infected_individuals'],,
Role_Frame_Fullness_container,['container'],['Bounded physcial object'],['Fullness.container'],['Container'],
Role_Frame_Gun_control_legislation_affected_people,['affected_people'],,['Gun control legislation.affected_people'],,
Role_Frame_Motion_along_a_path_moving_entity,['moving_entity'],,['Motion along a path.moving_entity'],,
Role_Frame_Nutritious_food_benefits_of_getting_nutrients,['benefits_of_getting_nutrients'],,['Nutritious food.benefits_of_getting_nutrients'],,
Role_Frame_Action_action_purpose,['action_purpose'],,['Action.action_purpose'],,
Role_Frame_Moral_authority_obeyer,['obeyer'],,['Moral authority.obeyer'],,
Role_Frame_Arithmetic_one,['one'],,['Arithmetic.one'],,
Role_Frame_Self_propelled_motion_goal,['goal'],,['Self propelled motion.goal'],,"[""mover's final location""]"
Role_Frame_Affected_motion_cause,['cause'],,['Affected motion.cause'],,
Role_Frame_Absorption_fluid,['fluid'],['liquid'],['Absorption.fluid'],['Subtance'],['the thing that is absorbed by absorbent_entity']
Role_Frame_Physical_structure_functional_status,['functional_status'],,['Physical structure.functional_status'],,
Role_Frame_Arithmetic_arithmetic_operation_result,['arithmetic_operation_result'],,['Arithmetic.arithmetic_operation_result'],,
Role_Frame_Boat_boat,['boat'],,['Boat.boat'],,
Role_Frame_Nation_Nation_nation_whole,['Nation.nation_whole'],,['Nation.Nation.nation_whole'],,
Role_Frame_Corporation_corporation_structure,['corporation_structure'],,['Corporation.corporation_structure'],,
Role_Frame_Fierce_animal_endangering_effect,['endangering_effect'],,['Fierce animal.endangering_effect'],,['effect to endangered entity']
Role_Frame_Responsibility_responsible_party,['responsible_party'],['Person'],['Responsibility.responsible_party'],,
Role_Frame_System_system_whole,['system_whole'],,['System.system_whole'],,
Role_Frame_Motion_away_from_a_location_goal,['goal'],,['Motion away from a location.goal'],,
Role_Frame_Vehicular_motion_vehicle_drivers,['vehicle_drivers'],,['Vehicular motion.vehicle_drivers'],,
Role_Frame_Machine_machine_hardware,['machine_hardware'],,['Machine.machine_hardware'],,
Role_Frame_Speaking_message,['message'],,['Speaking.message'],,
Role_Frame_Attacking_attacker,['attacker'],['person'],['Attacking.attacker'],['Assailant'],
Role_Frame_Voting_proposed_decision_characteristics,['proposed_decision_characteristics'],,['Voting.proposed_decision_characteristics'],,
Role_Frame_Gain_possession_getting_x_schema_finish,['getting_x-schema.finish'],,['Gain possession.getting_x-schema.finish'],,
Role_Frame_Physical_competition_prize,['prize'],,['Physical competition.prize'],,['resource or other desired outcome']
Role_Frame_Sadness_bodily_effect,['bodily_effect'],,['Sadness.bodily_effect'],,
Role_Frame_Awakening_awake_state,['awake_state'],,['Awakening.awake_state'],,
Role_Frame_Biological_entity_organism,['organism'],,['Biological entity.organism'],['Organism'],['organism as functional whole']
Role_Frame_Physical_combat_Fighter1,['Fighter1'],,['Physical combat.Fighter1'],,
Role_Frame_Cultivation_Cultivatee,['Cultivatee'],,['Cultivation.Cultivatee'],,['crop or domesticated animal']
Role_Frame_Force_transfer_force_reciever,['force_reciever'],['Entity'],['Force transfer.force_reciever'],,
Role_Frame_Impoverished_economic_state,['economic_state'],,['Impoverished.economic_state'],,
Role_Frame_Straightness_person_moving_along_straight_line,['person_moving_along_straight_line'],,['Straightness.person_moving_along_straight_line'],,
Role_Frame_Responsibility_source_of_obligation,['source_of_obligation'],,['Responsibility.source_of_obligation'],,
Role_Frame_Motion_to_a_location_self_mover,['self-mover'],,['Motion to a location.self-mover'],,
Role_Frame_Cause_contact_cause,['cause'],,['Cause contact.cause'],,
Role_Frame_Object_construction_objects,['objects'],,['Object construction.objects'],,
Role_Frame_X_schema_x_schema_stopped_state,['x-schema_stopped_state'],['stage'],['X-schema.x-schema_stopped_state'],,
Role_Frame_Competition_competition_winner,['competition_winner'],,['Competition.competition_winner'],,
Role_Frame_Region_background,['background'],,['Region.background'],,['region as a whole']
Role_Frame_Nation_citizens,['citizens'],,['Nation.citizens'],,
Role_Frame_Lose_possession_donor,['donor'],,['Lose possession.donor'],['Donor'],
Role_Frame_Government_institution_position_relations,['position_relations'],,['Government institution.position_relations'],,['e.g. authority relations between positions']
Role_Frame_Being_at_a_low_location_low_landmark,['low_landmark'],,['Being at a low location.low_landmark'],,
Role_Frame_Communication_message,['message'],,['Communication.message'],['Message'],
Role_Frame_Economy_economic_activity,['economic_activity'],,['Economy.economic_activity'],,['production and distribution of goods and services']
Role_Frame_Factory_Factory_workers,['Factory_workers'],,['Factory.Factory_workers'],,
