name,hasBoundRole1,hasBoundRole2,label
Binding_988,['Role_Frame_Visual_obstruction_vision'],['Role_Frame_Seeing_visual_ability'],['Frame:Visual obstruction.vision=Seeing.visual_ability']
Binding_978,['Role_Frame_Visual_evaluation_evaluee'],['Role_Frame_Visual_obstruction_focal_object'],['Frame:Visual evaluation.evaluee=Visual obstruction.focal_object']
Binding_846,['Role_Frame_Self_propelled_motion_effort'],['Role_Frame_Purposeful_action_effort'],['Frame:Self propelled motion.effort=Purposeful action.effort']
Binding_871,['Role_Frame_Size_size_scale'],['Role_Frame_Trajector_landmark_landmark'],['Frame:Size.size_scale=Trajector landmark.landmark']
Binding_567,['Role_Frame_Legality_legality_of_action'],['Role_Frame_Evaluation_judgement'],['Frame:Legality.legality_of_action=Evaluation.judgement']
Binding_728,['Role_Frame_Political_competition_event'],['Role_Frame_Competition_competition_event'],['Frame:Political competition.event=Competition.competition_event']
Binding_506,['Role_Frame_Impoverished_economic_state'],['Role_Frame_Experiencing_a_negative_state_domain'],['Frame:Impoverished.economic_state=Experiencing a negative state.domain']
Binding_114,['Role_Frame_Bounded_entity_bounded_entity'],['Role_Frame_Part_whole_whole'],['Frame:Bounded entity.bounded_entity=Part whole.whole']
Binding_822,['Role_Frame_Scale_position_on_scale'],['Role_Frame_State_profiled_state_value'],['Frame:Scale.position on scale=State.profiled_state_value']
Binding_283,['Role_Frame_Economic_competition_economic_prize'],['Role_Frame_Competition_competition_prize'],['Frame:Economic competition.economic_prize=Competition.competition_prize']
Binding_502,['Role_Frame_Impoverished_experiencer'],['Role_Frame_Experiencing_a_negative_state_experiencer'],['Frame:Impoverished.experiencer=Experiencing a negative state.experiencer']
Binding_970,['Role_Frame_Vehicular_motion_motion_x_schema'],['Role_Frame_Affected_motion_motion'],['Frame:Vehicular motion.motion_x-schema=Affected motion.motion']
Binding_813,['Role_Frame_Sadness_sadness'],['Role_Frame_Emotion_emotion'],['Frame:Sadness.sadness=Emotion.emotion']
Binding_224,['Role_Frame_Death_death_state'],['Role_Frame_Life_cycle_end_of_life'],['Frame:Death.death_state=Life cycle.end_of_life']
Binding_282,['Role_Frame_Economic_competition_economic_prize'],['Role_Frame_Limited_resource_resource'],['Frame:Economic competition.economic_prize=Limited resource.resource']
Binding_287,['Role_Frame_Economic_status_financial_resources'],['Role_Frame_Scale_parameter'],['Frame:Economic status.financial_resources=Scale.parameter']
Binding_832,['Role_Frame_Self_defense_means_of_protection'],['Role_Frame_Protecting_means_of_protection'],['Frame:Self-defense.means of protection=Protecting.means_of_protection']
Binding_94,['Role_Frame_Biological_entity_organism'],['Role_Frame_Ingestion_ingestor'],['Frame:Biological entity.organism=Ingestion.ingestor']
Binding_295,['Role_Frame_Economic_status_maximal_status'],['Role_Frame_Scale_maximal_value'],['Frame:Economic status.maximal_status=Scale.maximal value']
Binding_950,['Role_Frame_Trust_relationship_relationship'],['Role_Frame_Relationship_relation'],['Frame:Trust relationship.relationship=Relationship.relation']
Binding_296,['Role_Frame_Economic_status_intermediate_status'],['Role_Frame_Scale_intermediate_values'],['Frame:Economic status.intermediate_status=Scale.intermediate_values']
Binding_843,['Role_Frame_Self_propelled_motion_self_mover'],['Role_Frame_Animate_entity_animate_entity'],['Frame:Self propelled motion.self-mover=Animate entity.animate_entity']
Binding_751,['Role_Frame_Possession_change_possessor'],['Role_Frame_Possession_possessor'],['Frame:Possession change.possessor=Possession.possessor']
Binding_987,['Role_Frame_Visual_obstruction_eyes'],['Role_Frame_Seeing_eyes'],['Frame:Visual obstruction.eyes=Seeing.eyes']
Binding_229,['Role_Frame_Decay_decaying_effect'],['Role_Frame_Destructive_natural_process_destructive_effect'],['Frame:Decay.decaying_effect=Destructive natural process.destructive_effect']
Binding_700,['Role_Frame_Physical_affliction_patient'],['Role_Frame_Harm_to_living_entity_victim'],['Frame:Physical affliction.patient=Harm to living entity.victim']
Binding_445,['Role_Frame_Government_executive_action_citizens'],['Role_Frame_Governing_action_governed'],['Frame:Government executive action.citizens=Governing action.governed']
Binding_474,['Role_Frame_Guided_motion_follower_path'],['Role_Frame_Affected_motion_path'],['Frame:Guided motion.follower_path=Affected motion.path']
Binding_401,['Role_Frame_Governing_action_governing_action_x_schema'],['Role_Frame_Government_governing_actions'],['Frame:Governing action.governing_action_x-schema=Government.governing_actions']
Binding_578,['Role_Frame_Legislation_enactment_legislators'],['Role_Frame_Voting_voter'],['Frame:Legislation enactment.legislators=Voting.voter']
Binding_183,['Role_Frame_Containing_contents_location'],['Role_Frame_Trajector_landmark_profiled_region'],['Frame:Containing.contents_location=Trajector landmark.profiled_region']
Binding_294,['Role_Frame_Economic_status_minimal_status'],['Role_Frame_Scale_minimal_value'],['Frame:Economic status.minimal_status=Scale.minimal value']
Binding_234,['Role_Frame_Deity_deity_power'],['Role_Frame_Moral_authority_moral_authority_power'],['Frame:Deity.deity_power=Moral authority.moral_authority_power']
Binding_534,['Role_Frame_Judgment_judged_issue'],['Role_Frame_Evaluation_behavior'],['Frame:Judgment.judged_issue=Evaluation.behavior']
Binding_788,['Role_Frame_Recreational_competition_activity_x_schema'],['Role_Frame_Competition_competition_x_schema'],['Frame:Recreational competition.activity_x-schema=Competition.competition_x-schema']
Binding_140,['Role_Frame_Caused_change_of_state_transition'],['Role_Frame_Change_of_state_transition'],['Frame:Caused change of state.transition=Change of state.transition']
Binding_876,['Role_Frame_Social_group_member'],['Role_Frame_Payment_payer'],['Frame:Social group.member=Payment.payer']
Binding_570,['Role_Frame_Legislation_enactment_legislator_enactment_actions'],['Role_Frame_Government_decision_making_decision_maker_action'],['Frame:Legislation enactment.legislator_enactment_actions=Government decision making.decision_maker_action']
Binding_734,['Role_Frame_Political_region_governing_institution'],['Role_Frame_Government_governor'],['Frame:Political region.governing_institution=Government.governor']
Binding_531,['Role_Frame_Into_goal_interior'],['Role_Frame_Source_path_goal_goal'],['Frame:Into.goal_interior=Source path goal.goal']
Binding_884,['Role_Frame_Speaking_topic'],['Role_Frame_Communication_topic'],['Frame:Speaking.topic=Communication.topic']
Binding_426,['Role_Frame_Government_decision_making_decision_maker_actions'],['Role_Frame_Caused_change_of_state_cause'],['Frame:Government decision making.decision_maker_actions=Caused change of state.cause']
Binding_932,['Role_Frame_Transfer_scenario_transfer_recipient_process'],['Role_Frame_Complex_process_process2'],['Frame:Transfer scenario.transfer_recipient_process=Complex_process.process2']
Binding_1002,['Role_Frame_Voting_proposed_decision_characteristics'],['Role_Frame_Government_decision_making_entity_under_consideration_characteristics'],['Frame:Voting.proposed_decision_characteristics=Government decision making.entity_under_consideration_characteristics']
Binding_106,['Role_Frame_Body_weight_body'],['Role_Frame_Resource_resource_user'],['Frame:Body weight.body=Resource.resource_user']
Binding_497,['Role_Frame_Heating_fluid_fluid'],['Role_Frame_Containment_interior'],['Frame:Heating fluid.fluid=Containment.interior']
Binding_339,['Role_Frame_Financial_resource_resource'],['Role_Frame_Resource_resource'],['Frame:Financial resource.resource=Resource.resource']
Binding_88,['Role_Frame_Being_stable_entity'],['Role_Frame_Stability_stable_entity'],['Frame:Being stable.entity=Stability.stable_entity']
Binding_890,['Role_Frame_Stable_stable_entity'],['Role_Frame_Stability_stablity_entity'],['Frame:Stable.stable_entity=Stability.stablity_entity']
Binding_324,['Role_Frame_Experiencing_an_economic_status_status'],['Role_Frame_Experiencing_a_state_experienced_state_value'],['Frame:Experiencing an economic status.status=Experiencing a state.experienced_state_value']
Binding_513,['Role_Frame_Injurious_gun_use_injurious_effect'],['Role_Frame_Harm_to_living_entity_harmful_effect'],['Frame:Injurious gun use.injurious_effect=Harm to living entity.harmful_effect']
Binding_448,['Role_Frame_Government_executive_action_affected_jurisdiction'],['Role_Frame_Governing_action_affected_jurisdiction'],['Frame:Government executive action.affected_jurisdiction=Governing action.affected_jurisdiction']
Binding_538,['Role_Frame_Judicial_action_non_normative_judicial_actions'],['Role_Frame_Governing_action_non_normative_governing_actions'],['Frame:Judicial action.non-normative_judicial_actions=Governing action.non-normative_governing_actions']
Binding_393,['Role_Frame_Game_game_event'],['Role_Frame_Recreational_competition_event'],['Frame:Game.game_event=Recreational competition.event']
Binding_359,['Role_Frame_Food_food'],['Role_Frame_Resource_resource'],['Frame:Food.food=Resource.resource']
Binding_76,['Role_Frame_Barrier_path'],['Role_Frame_Motion_along_a_path_path'],['Frame:Barrier.path=Motion along a path.path']
Binding_34,['Role_Frame_Anger_experiencer'],['Role_Frame_Emotion_experiencer'],['Frame:Anger.experiencer=Emotion.experiencer']
Binding_1,['Role_Frame_Absorption_fluid'],['Role_Frame_Liquid_liquid'],['Frame:Absorption.fluid=Liquid.liquid']
Binding_544,['Role_Frame_Judicial_decision_making_judicial_ruling'],['Role_Frame_Government_decision_making_act_of_deciding'],['Frame:Judicial decision-making.judicial_ruling=Government decision making.act_of_deciding']
Binding_40,['Role_Frame_Anger_cause_of_anger'],['Role_Frame_Emotion_cause_of_emotion'],['Frame:Anger.cause_of_anger=Emotion.cause_of_emotion']
Binding_424,['Role_Frame_Government_decision_making_decision_maker'],['Role_Frame_Purposeful_action_actor'],['Frame:Government decision making.decision_maker=Purposeful action.actor']
Binding_358,['Role_Frame_Food_food'],['Role_Frame_Eating_eaten_object'],['Frame:Food.food=Eating.eaten_object']
Binding_403,['Role_Frame_Governing_action_affected_jurisdiction'],['Role_Frame_Government_jurisdiction_region'],['Frame:Governing action.affected_jurisdiction=Government.jurisdiction_region']
Binding_44,['Role_Frame_Anger_body_agitation'],['Role_Frame_Emotion_bodily_effect'],['Frame:Anger.body_agitation=Emotion.bodily_effect']
Binding_419,['Role_Frame_Government_governing_power'],['Role_Frame_Authority_authority_power'],['Frame:Government.governing_power=Authority.authority_power']
Binding_152,['Role_Frame_Citizen_evaluation_of_government_Evaluee'],['Role_Frame_Evaluation_evaluee'],['Frame:Citizen evaluation of government.Evaluee=Evaluation.evaluee']
Binding_517,['Role_Frame_Injurious_gun_use_gun_user'],['Role_Frame_Personal_weapon_weapon_user'],['Frame:Injurious gun use.gun_user=Personal weapon.weapon_user']
Binding_155,['Role_Frame_Citizen_evaluation_of_government_Evaluaee'],['Role_Frame_Government_governor'],['Frame:Citizen evaluation of government.Evaluaee=Government.governor']
Binding_720,['Role_Frame_Physical_entity_physical_entity_whole'],['Role_Frame_Entity_entity'],['Frame:Physical entity.physical_entity_whole=Entity.entity']
Binding_79,['Role_Frame_Being_at_a_location_current_location'],['Role_Frame_Trajector_landmark_profiled_region'],['Frame:Being at a location.current_location=Trajector_landmark.profiled_region']
Binding_785,['Role_Frame_Recreational_competition_competitor_2'],['Role_Frame_Competition_competition_competitor2'],['Frame:Recreational competition.competitor_2=Competition.competition_competitor2']
Binding_653,['Role_Frame_Motion_affecting_objects_impediment'],['Role_Frame_Motion_affecting_external_factors_impediment'],['Frame:Motion-affecting objects.impediment=Motion-affecting external factors.impediment']
Binding_379,['Role_Frame_Forced_motion_forceful_action'],['Role_Frame_Force_application_force'],['Frame:Forced motion.forceful_action=Force-application.force']
Binding_873,['Role_Frame_Social_group_members'],['Role_Frame_Group_members'],['Frame:Social group.members=Group.members']
Binding_386,['Role_Frame_Forming_words_linguistic_expression'],['Role_Frame_Cognizing_topic'],['Frame:Forming words.linguistic_expression=Cognizing.topic']
Binding_427,['Role_Frame_Government_decision_making_decision_maker_actions'],['Role_Frame_Purposeful_action_action_x_schema'],['Frame:Government decision making.decision_maker_actions=Purposeful action.action_x-schema']
Binding_789,['Role_Frame_Relation_relation'],['Role_Frame_process_protagonist'],['Frame:Relation.relation=process.protagonist']
Binding_855,['Role_Frame_Sentient_entity_sentient_entity'],['Role_Frame_Entity_entity'],['Frame:Sentient entity.sentient_entity=Entity.entity']
Binding_437,['Role_Frame_Government_decision_making_act_of_deciding'],['Role_Frame_Purposeful_action_action_x_schema'],['Frame:Government decision making.act_of_deciding=Purposeful action.action_x-schema.finish']
Binding_777,['Role_Frame_Race_prize'],['Role_Frame_Recreational_competition_prize'],['Frame:Race.prize=Recreational competition.prize']
Binding_52,['Role_Frame_Artifact_purpose'],['Role_Frame_Purposeful_action_objective'],['Frame:Artifact.purpose=Purposeful action.objective']
Binding_847,['Role_Frame_Self_propelled_motion_speed'],['Role_Frame_Affected_motion_speed'],['Frame:Self propelled motion.speed=Affected motion.speed']
Binding_272,['Role_Frame_Downward_motion_mover_position'],['Role_Frame_Verticality_scalar_position'],['Frame:Downward motion.mover_position=Verticality.scalar_position']
Binding_714,['Role_Frame_Physical_competition_winner'],['Role_Frame_Competition_competition_winner'],['Frame:Physical competition.winner=Competition.competition_winner']
Binding_365,['Role_Frame_Force_application_acted_upon'],['Role_Frame_Force_transfer_force_receiver'],['Frame:Force-application.acted_upon=Force transfer.force_receiver']
Binding_330,['Role_Frame_Family_family_member_relations'],['Role_Frame_Social_group_member_relation'],['Frame:Family.family_member_relations=Social group.member_relation']
Binding_512,['Role_Frame_Injurious_gun_use_firing_of_gun'],['Role_Frame_Harm_to_living_entity_cause'],['Frame:Injurious gun use.firing_of_gun=Harm to living entity.cause']
Binding_629,['Role_Frame_Motion_affecting_external_factors_affected_motion'],['Role_Frame_Causation_effect'],['Frame:Motion-affecting external factors.affected_motion=Causation.effect']
Binding_948,['Role_Frame_Trust_relationship_trusting_entity'],['Role_Frame_Relationship_related_entity_1'],['Frame:Trust relationship.trusting_entity=Relationship.related_entity_1']
Binding_145,['Role_Frame_Child_care_childcare_duties'],['Role_Frame_Work_scenario_work_activity'],['Frame:Child care.childcare_duties=Work scenario.work_activity']
Binding_207,['Role_Frame_Create_object_created_object_process'],['Role_Frame_Create_object_Complex_process2'],['Frame:Create object.created_object_process=Complex process2']
Binding_872,['Role_Frame_Social_group_social_group_whole'],['Role_Frame_Group_group'],['Frame:Social group.social_group_whole=Group.group']
Binding_729,['Role_Frame_Political_competition_outcome'],['Role_Frame_Competition_competition_outcome'],['Frame:Political competition.outcome=Competition.competition_outcome']
Binding_572,['Role_Frame_Legislation_enactment_legislator_enactment_actions'],['Role_Frame_Government_decision_making_decision_maker_actions'],['Frame:Legislation enactment.legislator_enactment_actions=Government decision making.decision_maker_actions']
Binding_778,['Role_Frame_Race_outcome'],['Role_Frame_Recreational_competition_outcome'],['Frame:Race.outcome=Recreational competition.outcome']
Binding_926,['Role_Frame_Transfer_scenario_transfer_recipient'],['Role_Frame_Gain_possession_recipient'],['Frame:Transfer scenario.transfer_recipient=Gain_possession.recipient']
Binding_773,['Role_Frame_Purposeful_action_actor'],['Role_Frame_Desiring_experiencer'],['Frame:Purposeful action.actor=Desiring.experiencer']
Binding_941,['Role_Frame_Trust_emotion_trusted_entity'],['Role_Frame_Directed_emotion_target'],['Frame:Trust emotion.trusted_entity=Directed emotion.target']
Binding_541,['Role_Frame_Judicial_action_judicial_actor'],['Role_Frame_Governing_action_governing_actor'],['Frame:Judicial action.judicial_actor=Governing action.governing_actor']
Binding_307,['Role_Frame_Employment_employer_employee_relation'],['Role_Frame_Control_control_relation'],['Frame:Employment.employer-employee_relation=Control.control_relation']
Binding_395,['Role_Frame_Game_game_player2'],['Role_Frame_Recreational_competition_competitor_2'],['Frame:Game.game player2=Recreational competition.competitor_2']
Binding_764,['Role_Frame_Proximity_ground'],['Role_Frame_Trajector_landmark_landmark'],['Frame:Proximity.ground=Trajector landmark.landmark']
Binding_477,['Role_Frame_Gun_possession_gun'],['Role_Frame_Personal_weapon_weapon'],['Frame:Gun possession.gun=Personal weapon.weapon']
Binding_430,['Role_Frame_Government_decision_making_entity_under_consideration'],['Role_Frame_Caused_change_of_state_affected'],['Frame:Government decision making.entity_under_consideration=Caused change of state.affected']
Binding_221,['Role_Frame_Danger_endangered_entity'],['Role_Frame_Harm_harmed_entity'],['Frame:Danger.endangered_entity=Harm.harmed_entity']
Binding_201,['Role_Frame_Crafting_crafter'],['Role_Frame_Purposeful_action_actor'],['Frame:Crafting.crafter=Purposeful action.actor']
Binding_548,['Role_Frame_Judicial_decision_making_judged_party_initial_status'],['Role_Frame_Government_decision_making_entity_under_consideration_initial_state'],['Frame:Judicial decision-making.judged_party_initial_status=Government decision making.entity_under_consideration_initial_state']
Binding_25,['Role_Frame_Affected_motion_cause'],['Role_Frame_Causation_cause'],['Frame:Affected motion.cause=Causation.cause']
Binding_290,['Role_Frame_Economic_status_financial_resources'],['Role_Frame_Social_group_defining_properties'],['Frame:Economic status.financial_resources=Social group.defining_properties']
Binding_366,['Role_Frame_Force_dynamic_interaction_force_originator'],['Role_Frame_Complex_process_protagonist1'],['Frame:Force-dynamic interaction.force_originator=Complex process.protagonist1']
Binding_707,['Role_Frame_Physical_competition_prize'],['Role_Frame_Competition_competition_prize'],['Frame:Physical competition.prize=Competition.competition_prize']
Binding_412,['Role_Frame_Government_government'],['Role_Frame_Authority_authority_entity'],['Frame:Government.government=Authority.authority_entity']
Binding_918,['Role_Frame_Theft_stolen_item'],['Role_Frame_Object_object_entity'],['Frame:Theft.stolen_item=Object.object_entity']
Binding_377,['Role_Frame_Forced_motion_agent'],['Role_Frame_Force_application_actor'],['Frame:Forced motion.agent=Force-application.actor']
Binding_261,['Role_Frame_Dissect_dissecting_tool'],['Role_Frame_Cut_cutting_tool'],['Frame:Dissect.dissecting_tool=Cut.cutting_tool']
Binding_566,['Role_Frame_Legality_action'],['Role_Frame_Evaluation_behavior'],['Frame:Legality.action=Evaluation.behavior']
Binding_191,['Role_Frame_Control_controlling_process'],['Role_Frame_Control_forceful_process'],['Frame:Control.controlling_process=forceful_process']
Binding_371,['Role_Frame_Force_dynamic_interaction_force_originator'],['Role_Frame_Force_transfer_force_originator'],['Frame:Force-dynamic interaction.force_originator=Force transfer.force_originator']
Binding_888,['Role_Frame_Stability_stablity_status'],['Role_Frame_Condition_of_physical_object_state_of_object'],['Frame:Stability.stablity_status=Condition of physical object.state_of_object']
Binding_676,['Role_Frame_Object_size'],['Role_Frame_Size_entity_size'],['Frame:Object.size=Size.entity_size']
Binding_741,['Role_Frame_Position_responsibilities'],['Role_Frame_Responsibility_duty'],['Frame:Position.responsibilities=Responsibility.duty']
Binding_917,['Role_Frame_Theft_theft_action'],['Role_Frame_Crime_criminal_activity'],['Frame:Theft.theft_action=Crime.criminal_activity']
Binding_1003,['Role_Frame_Voting_approval_standards'],['Role_Frame_Government_decision_making_decision_making_standard'],['Frame:Voting.approval_standards=Government decision making.decision_making_standard']
Binding_223,['Role_Frame_Death_death_protagonist'],['Role_Frame_Life_cycle_life_liver'],['Frame:Death.death_protagonist=Life cycle.life_liver']
Binding_935,['Role_Frame_Treating_a_physical_affliction_treatment_provider'],['Role_Frame_Causation_agent'],['Frame:Treating a physical affliction.treatment_provider=Causation.agent']
Binding_992,['Role_Frame_Voting_proposed_decision'],['Role_Frame_Government_decision_making_entity_under_consideration'],['Frame:Voting.proposed_decision=Government decision making.entity_under_consideration']
Binding_752,['Role_Frame_Possession_change_possession'],['Role_Frame_Possession_possession'],['Frame:Possession change.possession=Possession.possession']
Binding_43,['Role_Frame_Anger_body_pressure'],['Role_Frame_Emotion_bodily_effect'],['Frame:Anger.body_pressure=Emotion.bodily_effect']
Binding_222,['Role_Frame_Death_death_protagonist'],['Role_Frame_Death_Biological_entity'],['Frame:Death.death_protagonist=Biological entity']
Binding_131,['Role_Frame_Cause_contact_entity1'],['Role_Frame_Contact_entity1'],['Frame:Cause contact.entity1=Contact.entity1']
Binding_991,['Role_Frame_Voting_voting_event'],['Role_Frame_Government_decision_making_act_of_deciding'],['Frame:Voting.voting_event=Government decision making.act_of_deciding']
Binding_551,['Role_Frame_Judicial_decision_making_case_brought_to_court'],['Role_Frame_Government_decision_making_introduction_of_entity_under_consideration'],['Frame:Judicial decision-making.case_brought_to_court=Government decision making.introduction_of_entity_under_consideration']
Binding_713,['Role_Frame_Physical_competition_outcome'],['Role_Frame_Competition_competiition_outcome'],['Frame:Physical competition.outcome=Competition.competiition_outcome']
Binding_723,['Role_Frame_Physical_structure_structure_creator'],['Role_Frame_Functional_functionality_beneficiary'],['Frame:Physical structure.structure_creator=Functional.functionality_beneficiary']
Binding_933,['Role_Frame_Treating_a_physical_affliction_treated_affliction'],['Role_Frame_Physical_affliction_affliction'],['Frame:Treating a physical affliction.treated_affliction=Physical affliction.affliction']
Binding_537,['Role_Frame_Judicial_action_normative_judicial_actions'],['Role_Frame_Governing_action_normative_governing_actions'],['Frame:Judicial action.normative_judicial_actions=Governing action.normative_governing_actions']
Binding_568,['Role_Frame_Legality_legal_code'],['Role_Frame_Evaluation_standard'],['Frame:Legality.legal_code=Evaluation.standard']
Binding_320,['Role_Frame_Experiencing_a_state_experiencer'],['Role_Frame_Process_protagonist'],['Frame:Experiencing a state.experiencer=Process.protagonist']
Binding_647,['Role_Frame_Motion_to_a_bounded_region_bounded_region'],['Role_Frame_Motion_along_a_path_goal'],['Frame:Motion to a bounded region.bounded_region=Motion along a path.goal']
Binding_85,['Role_Frame_Being_in_a_bounded_region_located_thing'],['Role_Frame_Being_at_a_location_experiencer'],['Frame:Being in a bounded region.located_thing=Being at a location.experiencer']
Binding_824,['Role_Frame_Seeing_see_er'],['Role_Frame_Perception_perceiver'],['Frame:Seeing.see-er=Perception.perceiver']
Binding_90,['Role_Frame_Being_unstable_entity'],['Role_Frame_Stability_stable_entity'],['Frame:Being unstable.entity=Stability.stable_entity']
Binding_187,['Role_Frame_Containment_boundary'],['Role_Frame_Part_whole_part'],['Frame:Containment.boundary=Part_whole.part']
Binding_952,['Role_Frame_Trust_relationship_trusting_entity'],['Role_Frame_Judgment_judging_party'],['Frame:Trust relationship.trusting_entity=Judgment.judging_party']
Binding_704,['Role_Frame_Physical_affliction_affected_area'],['Role_Frame_Experience_pain_body_part'],['Frame:Physical affliction.affected_area=Experience pain.body_part']
Binding_983,['Role_Frame_Visual_evaluation_evaluation_outcome'],['Role_Frame_Evaluation_evaluation'],['Frame:Visual evaluation.evaluation_outcome=Evaluation.evaluation']
Binding_825,['Role_Frame_Seeing_eyes'],['Role_Frame_Perception_faculty'],['Frame:Seeing.eyes=Perception.faculty']
Binding_165,['Role_Frame_Competitive_sport_outcome'],['Role_Frame_Recreational_competition_outcome'],['Frame:Competitive sport.outcome=Recreational competition.outcome']
Binding_620,['Role_Frame_Motion_mover'],['Role_Frame_Process_protagonist'],['Frame:Motion.mover=Process.protagonist']
Binding_281,['Role_Frame_Eating_eater'],['Role_Frame_Food_food_consumer'],['Frame:Eating.eater=Food.food_consumer']
Binding_826,['Role_Frame_Seeing_seen_object'],['Role_Frame_Perception_perceived_thing'],['Frame:Seeing.seen_object=Perception.perceived_thing']
Binding_515,['Role_Frame_Injurious_gun_use_injured_party'],['Role_Frame_Harm_to_living_entity_victim'],['Frame:Injurious gun use.injured_party=Harm to living entity.victim']
Binding_135,['Role_Frame_Caused_change_of_state_affected'],['Role_Frame_Causation_affected'],['Frame:Caused change of state.affected=Causation.affected']
Binding_761,['Role_Frame_Proximal_distal_distal_region'],['Role_Frame_Bounded_region_exterior'],['Frame:Proximal distal.distal region=Bounded region.exterior']
Binding_997,['Role_Frame_Voting_proposed_decision_transition'],['Role_Frame_Government_decision_making_entity_under_consideration_ongoing_state'],['Frame:Voting.proposed_decision_transition=Government decision making.entity_under_consideration_ongoing_state']
Binding_823,['Role_Frame_Scale_ordered_value_relations'],['Role_Frame_State_value_relations'],['Frame:Scale.ordered_value_relations=State.value_relations']
Binding_264,['Role_Frame_Downward_motion_mover'],['Role_Frame_Motion_along_a_path_mover'],['Frame:Downward motion.mover=Motion along a path.mover']
Binding_1000,['Role_Frame_Voting_proposed_decision_status_change'],['Role_Frame_Government_decision_making_entity_under_consideration_status_change'],['Frame:Voting.proposed_decision_status_change=Government decision making.entity_under_consideration_status_change']
Binding_786,['Role_Frame_Recreational_competition_prize'],['Role_Frame_Competition_competition_prize'],['Frame:Recreational competition.prize=Competition.competition_prize']
Binding_2,['Role_Frame_Access_path_of_access'],['Role_Frame_Barrier_path'],['Frame:Access.path_of_access=Barrier.path']
Binding_598,['Role_Frame_Legislative_branch_legislative_actor'],['Role_Frame_Government_institution_position_holders'],['Frame:Legislative branch.legislative_actor=Government institution.position_holders']
Binding_190,['Role_Frame_Control_dependent_entity'],['Role_Frame_Control_force_receiver'],['Frame:Control.dependent_entity=force_receiver']
Binding_425,['Role_Frame_Government_decision_making_decision_maker'],['Role_Frame_Caused_change_of_state_agent'],['Frame:Government decision making.decision_maker=Caused change of state.agent']
Binding_929,['Role_Frame_Transfer_scenario_transferor_process'],['Role_Frame_Transfer_scenario_Lose_possession'],['Frame:Transfer scenario.transferor_process=Lose_possession']
Binding_150,['Role_Frame_Citizen_evaluation_of_government_Evaluator'],['Role_Frame_Evaluation_evaluator'],['Frame:Citizen evaluation of government.Evaluator=Evaluation.evaluator']
